Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.0001%/h),NetPnL,ROI(%),ROI_day(%),BelowMin
2025-08-19 18:33:00,KuCoin,CoinEx,0.0238,0.0,0.0238,1.19,0.04(0.0008%),1.15,0.115,0.35,False
2025-08-19 18:33:00,KuCoin,OKX,0.0238,0.0004,0.0234,1.17,0.04(0.0008%),1.13,0.113,0.34,False
2025-08-19 18:33:00,KuCoin,Bitget,0.0238,0.0037,0.0201,1.01,0.04(0.0008%),0.97,0.0965,0.29,False
2025-08-18 20:00:00,Bitmex,Hyperliquid,0.01,-0.0104,0.0204,1.02,0.04(0.0008%),0.98,0.098,0.29,False
2025-08-18 20:00:00,BingX,Hyperliquid,0.01,-0.0104,0.0204,1.02,0.04(0.0008%),0.98,0.098,0.29,False
2025-08-18 20:00:00,OKX,Hyperliquid,0.01,-0.0104,0.0204,1.02,0.04(0.0008%),0.98,0.098,0.29,False
2025-08-18 04:00:00,KuCoin,Crypto.com,0.0141,-0.0064,0.0205,1.02,0.04(0.0008%),0.98,0.0985,0.3,False
2025-08-15 04:00:00,Bitmex,Crypto.com,0.01,-0.0242,0.0342,1.71,0.04(0.0008%),1.67,0.167,0.5,False
2025-08-15 04:00:00,OKX,Crypto.com,0.01,-0.0242,0.0342,1.71,0.04(0.0008%),1.67,0.167,0.5,False
2025-08-15 04:00:00,Bybit,Crypto.com,0.01,-0.0242,0.0342,1.71,0.04(0.0008%),1.67,0.167,0.5,False
2025-08-15 04:00:00,Hyperliquid,Crypto.com,0.01,-0.0242,0.0342,1.71,0.04(0.0008%),1.67,0.167,0.5,False
2025-08-15 04:00:00,Gate,Crypto.com,0.01,-0.0242,0.0342,1.71,0.04(0.0008%),1.67,0.167,0.5,False
2025-08-14 20:00:00,Bitmex,Crypto.com,0.01,-0.0132,0.0232,1.16,0.04(0.0008%),1.12,0.112,0.34,False
2025-08-14 20:00:00,Hyperliquid,Crypto.com,0.01,-0.0132,0.0232,1.16,0.04(0.0008%),1.12,0.112,0.34,False
