Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.005%/h),NetPnL,ROI(%),ROI_day(%),BelowMin
2025-08-17 03:06:00,KuCoin,Bybit,0.0309,-0.0143,0.0452,2.26,2.0(0.04%),0.26,0.026,0.08,False
2025-08-17 03:06:00,KuCoin,OKX,0.0309,-0.004,0.0349,1.75,2.0(0.04%),-0.25,-0.0255,-0.08,False
2025-08-17 03:06:00,KuCoin,Binance,0.0309,0.005,0.0259,1.29,2.0(0.04%),-0.71,-0.0705,-0.21,False
2025-08-17 03:06:00,KuCoin,Bitunix,0.0309,0.005,0.0259,1.29,2.0(0.04%),-0.71,-0.0705,-0.21,False
2025-08-17 03:06:00,KuCoin,Bitget,0.0309,0.005,0.0259,1.29,2.0(0.04%),-0.71,-0.0705,-0.21,False
2025-08-16 20:00:00,Bybit,Gate,0.01,-0.02,0.03,1.5,2.0(0.04%),-0.5,-0.05,-0.15,False
2025-08-16 20:00:00,OKX,Gate,0.0051,-0.02,0.0251,1.26,2.0(0.04%),-0.74,-0.0745,-0.22,False
2025-08-16 20:00:00,Binance,Gate,0.005,-0.02,0.025,1.25,2.0(0.04%),-0.75,-0.075,-0.22,False
2025-08-16 20:00:00,BingX,Gate,0.005,-0.02,0.025,1.25,2.0(0.04%),-0.75,-0.075,-0.22,False
2025-08-16 20:00:00,MEXC,Gate,0.005,-0.02,0.025,1.25,2.0(0.04%),-0.75,-0.075,-0.22,False
2025-08-16 12:00:00,BingX,KuCoin,0.005,-0.0918,0.0968,4.84,2.0(0.04%),2.84,0.284,0.85,False
2025-08-16 12:00:00,Bitget,KuCoin,0.005,-0.0918,0.0968,4.84,2.0(0.04%),2.84,0.284,0.85,False
2025-08-16 12:00:00,OKX,KuCoin,-0.002,-0.0918,0.0898,4.49,2.0(0.04%),2.49,0.249,0.75,False
2025-08-16 12:00:00,Binance,KuCoin,-0.0064,-0.0918,0.0854,4.27,2.0(0.04%),2.27,0.227,0.68,False
2025-08-16 12:00:00,Bybit,KuCoin,-0.0077,-0.0918,0.0841,4.21,2.0(0.04%),2.21,0.2205,0.66,False
2025-08-16 04:00:00,BingX,KuCoin,-0.0018,-0.0962,0.0944,4.72,2.0(0.04%),2.72,0.272,0.82,False
2025-08-16 04:00:00,Bybit,KuCoin,-0.0029,-0.0962,0.0933,4.66,2.0(0.04%),2.66,0.2665,0.8,False
2025-08-16 04:00:00,OKX,KuCoin,-0.0066,-0.0962,0.0896,4.48,2.0(0.04%),2.48,0.248,0.74,False
2025-08-16 04:00:00,Bitget,KuCoin,-0.0069,-0.0962,0.0893,4.46,2.0(0.04%),2.46,0.2465,0.74,False
