Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.0002%/h),NetPnL,ROI(%),ROI_day(%),BelowMin
2025-08-17 09:06:00,KuCoin,Gate,0.0128,-0.0031,0.0159,0.8,0.08(0.0016%),0.72,0.0715,0.21,True
2025-08-17 04:00:00,KuCoin,Gate,0.024,-0.0032,0.0272,1.36,0.08(0.0016%),1.28,0.128,0.38,
2025-08-17 04:00:00,KuCoin,Bitget,0.024,-0.0021,0.0261,1.3,0.08(0.0016%),1.22,0.1225,0.37,
2025-08-17 04:00:00,KuCoin,Binance,0.024,-0.0006,0.0246,1.23,0.08(0.0016%),1.15,0.115,0.34,
2025-08-17 04:00:00,KuCoin,MEXC,0.024,-0.0006,0.0246,1.23,0.08(0.0016%),1.15,0.115,0.34,
2025-08-17 04:00:00,KuCoin,CoinEx,0.024,0.0,0.024,1.2,0.08(0.0016%),1.12,0.112,0.34,
2025-08-16 20:00:00,KuCoin,Crypto.com,0.026,-0.0025,0.0285,1.43,0.08(0.0016%),1.34,0.1345,0.4,
2025-08-16 20:00:00,KuCoin,CoinEx,0.026,0.0,0.026,1.3,0.08(0.0016%),1.22,0.122,0.37,
2025-08-16 20:00:00,KuCoin,Gate,0.026,0.0038,0.0222,1.11,0.08(0.0016%),1.03,0.103,0.31,
2025-08-16 20:00:00,KuCoin,MEXC,0.026,0.0047,0.0213,1.06,0.08(0.0016%),0.98,0.0985,0.3,
2025-08-16 20:00:00,KuCoin,Binance,0.026,0.0047,0.0213,1.06,0.08(0.0016%),0.98,0.0985,0.3,
2025-08-16 12:00:00,KuCoin,Crypto.com,0.0183,-0.0135,0.0318,1.59,0.08(0.0016%),1.51,0.151,0.45,
2025-08-16 12:00:00,OKX,Crypto.com,0.01,-0.0135,0.0235,1.18,0.08(0.0016%),1.09,0.1095,0.33,
2025-08-16 12:00:00,Bitmex,Crypto.com,0.01,-0.0135,0.0235,1.18,0.08(0.0016%),1.09,0.1095,0.33,
2025-08-16 12:00:00,HTX,Crypto.com,0.01,-0.0135,0.0235,1.18,0.08(0.0016%),1.09,0.1095,0.33,
2025-08-16 12:00:00,Gate,Crypto.com,0.01,-0.0135,0.0235,1.18,0.08(0.0016%),1.09,0.1095,0.33,
2025-08-16 04:00:00,KuCoin,Crypto.com,0.0188,-0.0104,0.0292,1.46,0.08(0.0016%),1.38,0.138,0.41,
2025-08-16 04:00:00,Bitunix,Crypto.com,0.0101,-0.0104,0.0205,1.02,0.08(0.0016%),0.94,0.0945,0.28,
2025-08-16 04:00:00,Bitmex,Crypto.com,0.01,-0.0104,0.0204,1.02,0.08(0.0016%),0.94,0.094,0.28,
2025-08-16 04:00:00,HTX,Crypto.com,0.01,-0.0104,0.0204,1.02,0.08(0.0016%),0.94,0.094,0.28,
2025-08-16 04:00:00,Gate,Crypto.com,0.01,-0.0104,0.0204,1.02,0.08(0.0016%),0.94,0.094,0.28,
2025-08-15 20:00:00,KuCoin,Crypto.com,0.0123,-0.0216,0.0339,1.7,0.08(0.0016%),1.61,0.1615,0.48,
