Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.003%/h),NetPnL,ROI(%),ROI_day(%),BelowMin
2025-08-22 05:13:00,Bitunix,HTX,-0.0067,-0.1595,0.1528,7.64,1.2(0.024%),6.44,0.644,1.93,False
2025-08-22 05:13:00,Gate,HTX,-0.0342,-0.1595,0.1253,6.26,1.2(0.024%),5.06,0.5065,1.52,False
2025-08-22 05:13:00,BingX,HTX,-0.0528,-0.1595,0.1067,5.33,1.2(0.024%),4.13,0.4135,1.24,False
2025-08-22 05:13:00,KuCoin,HTX,-0.0572,-0.1595,0.1023,5.12,1.2(0.024%),3.92,0.3915,1.17,False
2025-08-22 05:13:00,Bitunix,Bybit,-0.0067,-0.1058,0.0991,4.96,1.2(0.024%),3.76,0.3755,1.13,False
2025-08-22 04:00:00,Gate,HTX,-0.0394,-0.1141,0.0747,3.73,1.2(0.024%),2.53,0.2535,0.76,False
2025-08-22 04:00:00,BingX,HTX,-0.0505,-0.1141,0.0636,3.18,1.2(0.024%),1.98,0.198,0.59,False
2025-08-22 04:00:00,Gate,Bybit,-0.0394,-0.0833,0.0439,2.19,1.2(0.024%),0.99,0.0995,0.3,False
2025-08-22 04:00:00,Gate,Binance,-0.0394,-0.0807,0.0413,2.06,1.2(0.024%),0.86,0.0865,0.26,False
2025-08-22 04:00:00,Gate,MEXC,-0.0394,-0.0806,0.0412,2.06,1.2(0.024%),0.86,0.086,0.26,False
2025-08-21 20:00:00,BingX,CoinEx,-0.0197,-0.0865,0.0668,3.34,1.2(0.024%),2.14,0.214,0.64,False
2025-08-21 20:00:00,HTX,CoinEx,-0.0216,-0.0865,0.0649,3.24,1.2(0.024%),2.04,0.2045,0.61,False
2025-08-21 20:00:00,Bybit,CoinEx,-0.0275,-0.0865,0.059,2.95,1.2(0.024%),1.75,0.175,0.52,False
2025-08-21 20:00:00,KuCoin,CoinEx,-0.0294,-0.0865,0.0571,2.85,1.2(0.024%),1.66,0.1655,0.5,False
2025-08-21 20:00:00,OKX,CoinEx,-0.0346,-0.0865,0.0519,2.59,1.2(0.024%),1.39,0.1395,0.42,False
2025-08-21 12:00:00,HTX,Gate,0.005,-0.1019,0.1069,5.35,1.2(0.024%),4.15,0.4145,1.24,False
2025-08-21 12:00:00,HTX,MEXC,0.005,-0.0883,0.0933,4.67,1.2(0.024%),3.47,0.3465,1.04,False
2025-08-21 12:00:00,HTX,Binance,0.005,-0.0883,0.0933,4.67,1.2(0.024%),3.47,0.3465,1.04,False
