Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.0007%/h),NetPnL,ROI(%),ROI_day(%),BelowMin
2025-08-21 09:40:00,Crypto.com,MEXC,0.0815,-0.0015,0.083,4.15,0.28(0.0056%),3.87,0.387,1.16,False
2025-08-21 09:40:00,Crypto.com,OKX,0.0815,0.005,0.0765,3.82,0.28(0.0056%),3.54,0.3545,1.06,False
2025-08-21 09:40:00,Crypto.com,Gate,0.0815,0.005,0.0765,3.82,0.28(0.0056%),3.54,0.3545,1.06,False
2025-08-21 09:40:00,Crypto.com,HTX,0.0815,0.005,0.0765,3.82,0.28(0.0056%),3.54,0.3545,1.06,False
2025-08-21 09:40:00,Crypto.com,Bitmex,0.0815,0.01,0.0715,3.58,0.28(0.0056%),3.3,0.3295,0.99,False
2025-08-21 04:00:00,Crypto.com,MEXC,0.0741,-0.001,0.0751,3.76,0.28(0.0056%),3.48,0.3475,1.04,False
2025-08-21 04:00:00,Crypto.com,OKX,0.0741,0.005,0.0691,3.46,0.28(0.0056%),3.18,0.3175,0.95,False
2025-08-21 04:00:00,Crypto.com,Gate,0.0741,0.005,0.0691,3.46,0.28(0.0056%),3.18,0.3175,0.95,False
2025-08-21 04:00:00,Crypto.com,HTX,0.0741,0.005,0.0691,3.46,0.28(0.0056%),3.18,0.3175,0.95,False
2025-08-21 04:00:00,Crypto.com,Bitget,0.0741,0.005,0.0691,3.46,0.28(0.0056%),3.18,0.3175,0.95,False
2025-08-20 20:00:00,Crypto.com,MEXC,0.044,-0.001,0.045,2.25,0.28(0.0056%),1.97,0.197,0.59,False
2025-08-20 20:00:00,Hyperliquid,MEXC,0.0384,-0.001,0.0394,1.97,0.28(0.0056%),1.69,0.169,0.51,False
2025-08-20 20:00:00,CoinEx,MEXC,0.0383,-0.001,0.0393,1.97,0.28(0.0056%),1.69,0.1685,0.51,False
2025-08-20 20:00:00,Crypto.com,OKX,0.044,0.005,0.039,1.95,0.28(0.0056%),1.67,0.167,0.5,False
2025-08-20 20:00:00,Crypto.com,Binance,0.044,0.005,0.039,1.95,0.28(0.0056%),1.67,0.167,0.5,False
2025-08-20 12:00:00,Crypto.com,MEXC,0.0398,-0.001,0.0408,2.04,0.28(0.0056%),1.76,0.176,0.53,False
2025-08-20 12:00:00,Crypto.com,OKX,0.0398,0.005,0.0348,1.74,0.28(0.0056%),1.46,0.146,0.44,False
