Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.009%/h),NetPnL,ROI(%),ROI_day(%),BelowMin
2025-08-19 16:07:00,HTX,CoinEx,0.005,-0.046,0.051,2.55,3.6(0.072%),-1.05,-0.105,-0.31,False
2025-08-19 16:07:00,Bitget,CoinEx,0.005,-0.046,0.051,2.55,3.6(0.072%),-1.05,-0.105,-0.31,False
2025-08-19 16:07:00,BingX,CoinEx,0.005,-0.046,0.051,2.55,3.6(0.072%),-1.05,-0.105,-0.31,False
2025-08-19 16:07:00,Binance,CoinEx,-0.0032,-0.046,0.0428,2.14,3.6(0.072%),-1.46,-0.146,-0.44,False
2025-08-19 16:07:00,MEXC,CoinEx,-0.0034,-0.046,0.0426,2.13,3.6(0.072%),-1.47,-0.147,-0.44,False
2025-08-19 12:00:00,HTX,CoinEx,0.005,-0.0238,0.0288,1.44,3.6(0.072%),-2.16,-0.216,-0.65,False
2025-08-19 12:00:00,Bitget,CoinEx,0.005,-0.0238,0.0288,1.44,3.6(0.072%),-2.16,-0.216,-0.65,False
2025-08-19 12:00:00,BingX,CoinEx,0.005,-0.0238,0.0288,1.44,3.6(0.072%),-2.16,-0.216,-0.65,False
2025-08-19 12:00:00,Bybit,CoinEx,0.0033,-0.0238,0.0271,1.36,3.6(0.072%),-2.24,-0.2245,-0.67,False
2025-08-19 12:00:00,Bitget,Gate,0.005,-0.018,0.023,1.15,3.6(0.072%),-2.45,-0.245,-0.73,False
2025-08-19 04:00:00,HTX,CoinEx,0.005,-0.0643,0.0693,3.47,3.6(0.072%),-0.13,-0.0135,-0.04,False
2025-08-19 04:00:00,HTX,Gate,0.005,-0.0609,0.0659,3.29,3.6(0.072%),-0.3,-0.0305,-0.09,False
2025-08-19 04:00:00,BingX,CoinEx,-0.0082,-0.0643,0.0561,2.8,3.6(0.072%),-0.79,-0.0795,-0.24,False
2025-08-19 04:00:00,BingX,Gate,-0.0082,-0.0609,0.0527,2.64,3.6(0.072%),-0.96,-0.0965,-0.29,False
2025-08-19 04:00:00,MEXC,CoinEx,-0.0117,-0.0643,0.0526,2.63,3.6(0.072%),-0.97,-0.097,-0.29,False
2025-08-18 20:00:00,Bybit,MEXC,0.0093,-0.0382,0.0475,2.38,3.6(0.072%),-1.22,-0.1225,-0.37,False
2025-08-18 20:00:00,Bybit,Bitunix,0.0093,-0.0382,0.0475,2.38,3.6(0.072%),-1.22,-0.1225,-0.37,False
2025-08-18 20:00:00,Bybit,Binance,0.0093,-0.0368,0.0461,2.31,3.6(0.072%),-1.29,-0.1295,-0.39,False
2025-08-18 20:00:00,BingX,Bitunix,0.005,-0.0382,0.0432,2.16,3.6(0.072%),-1.44,-0.144,-0.43,False
2025-08-18 20:00:00,HTX,Bitunix,0.005,-0.0382,0.0432,2.16,3.6(0.072%),-1.44,-0.144,-0.43,False
2025-08-18 12:00:00,HTX,Gate,0.005,-0.0436,0.0486,2.43,3.6(0.072%),-1.17,-0.117,-0.35,False
2025-08-18 12:00:00,Bitget,Gate,0.0044,-0.0436,0.048,2.4,3.6(0.072%),-1.2,-0.12,-0.36,False
2025-08-18 12:00:00,BingX,Gate,0.0029,-0.0436,0.0465,2.32,3.6(0.072%),-1.27,-0.1275,-0.38,False
2025-08-18 12:00:00,Bybit,Gate,-0.0047,-0.0436,0.0389,1.94,3.6(0.072%),-1.65,-0.1655,-0.5,False
