Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.004%/h),NetPnL,ROI(%),ROI_day(%),BelowMin
2025-08-22 08:43:00,Bitmex,Hyperliquid,0.01,-0.0784,0.0884,4.42,1.6(0.032%),2.82,0.282,0.85,False
2025-08-22 08:43:00,CoinEx,Hyperliquid,0.0065,-0.0784,0.0849,4.25,1.6(0.032%),2.65,0.2645,0.79,False
2025-08-22 08:43:00,Bitget,Hyperliquid,0.005,-0.0784,0.0834,4.17,1.6(0.032%),2.57,0.257,0.77,False
2025-08-22 08:43:00,BingX,Hyperliquid,0.005,-0.0784,0.0834,4.17,1.6(0.032%),2.57,0.257,0.77,False
2025-08-22 08:43:00,Bitunix,Hyperliquid,0.0037,-0.0784,0.0821,4.1,1.6(0.032%),2.5,0.2505,0.75,False
2025-08-22 04:00:00,CoinEx,Hyperliquid,0.0203,-0.0515,0.0718,3.59,1.6(0.032%),1.99,0.199,0.6,False
2025-08-22 04:00:00,Bitmex,Hyperliquid,0.01,-0.0515,0.0615,3.07,1.6(0.032%),1.47,0.1475,0.44,False
2025-08-22 04:00:00,Binance,Hyperliquid,0.005,-0.0515,0.0565,2.82,1.6(0.032%),1.22,0.1225,0.37,False
2025-08-22 04:00:00,Bitget,Hyperliquid,0.005,-0.0515,0.0565,2.82,1.6(0.032%),1.22,0.1225,0.37,False
2025-08-22 04:00:00,Gate,Hyperliquid,0.005,-0.0515,0.0565,2.82,1.6(0.032%),1.22,0.1225,0.37,False
2025-08-21 20:00:00,CoinEx,Crypto.com,0.0258,-0.0185,0.0443,2.21,1.6(0.032%),0.61,0.0615,0.18,False
2025-08-21 20:00:00,CoinEx,KuCoin,0.0258,-0.0056,0.0314,1.57,1.6(0.032%),-0.03,-0.003,-0.01,False
2025-08-21 20:00:00,CoinEx,OKX,0.0258,-0.0043,0.0301,1.5,1.6(0.032%),-0.1,-0.0095,-0.03,False
2025-08-21 20:00:00,Bitmex,Crypto.com,0.01,-0.0185,0.0285,1.43,1.6(0.032%),-0.18,-0.0175,-0.05,False
2025-08-21 20:00:00,Hyperliquid,Crypto.com,0.0093,-0.0185,0.0278,1.39,1.6(0.032%),-0.21,-0.021,-0.06,False
2025-08-21 12:00:00,Bitmex,Crypto.com,0.01,-0.0501,0.0601,3.0,1.6(0.032%),1.4,0.1405,0.42,False
2025-08-21 12:00:00,HTX,Crypto.com,0.005,-0.0501,0.0551,2.75,1.6(0.032%),1.15,0.1155,0.35,False
2025-08-21 12:00:00,Gate,Crypto.com,0.005,-0.0501,0.0551,2.75,1.6(0.032%),1.15,0.1155,0.35,False
2025-08-21 12:00:00,Bitget,Crypto.com,0.005,-0.0501,0.0551,2.75,1.6(0.032%),1.15,0.1155,0.35,False
2025-08-21 12:00:00,BingX,Crypto.com,0.005,-0.0501,0.0551,2.75,1.6(0.032%),1.15,0.1155,0.35,False
