Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.004%/h),NetPnL,ROI(%),ROI_day(%),BelowMin
2025-08-18 13:46:00,Bybit,KuCoin,0.005,-0.0248,0.0298,1.49,1.6(0.032%),-0.11,-0.011,-0.03,False
2025-08-18 13:46:00,BingX,KuCoin,0.005,-0.0248,0.0298,1.49,1.6(0.032%),-0.11,-0.011,-0.03,False
2025-08-18 13:46:00,Bitget,KuCoin,0.005,-0.0248,0.0298,1.49,1.6(0.032%),-0.11,-0.011,-0.03,False
2025-08-18 13:46:00,Gate,KuCoin,0.005,-0.0248,0.0298,1.49,1.6(0.032%),-0.11,-0.011,-0.03,False
2025-08-18 13:46:00,OKX,KuCoin,0.0032,-0.0248,0.028,1.4,1.6(0.032%),-0.2,-0.02,-0.06,False
2025-08-18 12:00:00,Bybit,KuCoin,0.005,-0.0253,0.0303,1.51,1.6(0.032%),-0.09,-0.0085,-0.03,False
2025-08-18 12:00:00,BingX,KuCoin,0.005,-0.0253,0.0303,1.51,1.6(0.032%),-0.09,-0.0085,-0.03,False
2025-08-18 12:00:00,Bitget,KuCoin,0.005,-0.0253,0.0303,1.51,1.6(0.032%),-0.09,-0.0085,-0.03,False
2025-08-18 12:00:00,Gate,KuCoin,0.005,-0.0253,0.0303,1.51,1.6(0.032%),-0.09,-0.0085,-0.03,False
2025-08-18 12:00:00,Binance,KuCoin,0.0009,-0.0253,0.0262,1.31,1.6(0.032%),-0.29,-0.029,-0.09,False
2025-08-18 04:00:00,Binance,KuCoin,0.005,-0.0265,0.0315,1.57,1.6(0.032%),-0.03,-0.0025,-0.01,False
2025-08-18 04:00:00,Bybit,KuCoin,0.005,-0.0265,0.0315,1.57,1.6(0.032%),-0.03,-0.0025,-0.01,False
2025-08-18 04:00:00,Bitunix,KuCoin,0.005,-0.0265,0.0315,1.57,1.6(0.032%),-0.03,-0.0025,-0.01,False
2025-08-18 04:00:00,BingX,KuCoin,0.005,-0.0265,0.0315,1.57,1.6(0.032%),-0.03,-0.0025,-0.01,False
2025-08-18 04:00:00,Bitget,KuCoin,0.005,-0.0265,0.0315,1.57,1.6(0.032%),-0.03,-0.0025,-0.01,False
2025-08-17 20:00:00,Binance,KuCoin,0.005,-0.0162,0.0212,1.06,1.6(0.032%),-0.54,-0.054,-0.16,False
