Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.0053%/h),NetPnL,ROI(%),ROI_day(%),BelowMin
2025-08-17 16:05:00,Bitmex,Hyperliquid,0.0439,-0.0558,0.0997,4.99,2.12(0.0424%),2.87,0.2865,0.86,False
2025-08-17 16:05:00,Bitunix,Hyperliquid,0.0214,-0.0558,0.0772,3.86,2.12(0.0424%),1.74,0.174,0.52,False
2025-08-17 16:05:00,Bitmex,Gate,0.0439,-0.0311,0.075,3.75,2.12(0.0424%),1.63,0.163,0.49,False
2025-08-17 16:05:00,Bitmex,Binance,0.0439,-0.0217,0.0656,3.28,2.12(0.0424%),1.16,0.116,0.35,False
2025-08-17 16:05:00,Bitmex,MEXC,0.0439,-0.0214,0.0653,3.26,2.12(0.0424%),1.14,0.1145,0.34,False
2025-08-17 12:00:00,Crypto.com,CoinEx,0.0235,-0.0047,0.0282,1.41,2.12(0.0424%),-0.71,-0.071,-0.21,False
2025-08-17 12:00:00,Crypto.com,MEXC,0.0235,-0.0012,0.0247,1.23,2.12(0.0424%),-0.89,-0.0885,-0.27,False
2025-08-17 12:00:00,Crypto.com,Binance,0.0235,-0.0009,0.0244,1.22,2.12(0.0424%),-0.9,-0.09,-0.27,False
2025-08-17 12:00:00,Crypto.com,Gate,0.0235,0.0011,0.0224,1.12,2.12(0.0424%),-1.0,-0.1,-0.3,False
2025-08-17 12:00:00,Crypto.com,Bitunix,0.0235,0.0012,0.0223,1.11,2.12(0.0424%),-1.01,-0.1005,-0.3,False
2025-08-17 04:00:00,Bitunix,Binance,0.0118,-0.0118,0.0236,1.18,2.12(0.0424%),-0.94,-0.094,-0.28,False
2025-08-17 04:00:00,Bitunix,MEXC,0.0118,-0.0118,0.0236,1.18,2.12(0.0424%),-0.94,-0.094,-0.28,False
2025-08-17 04:00:00,Crypto.com,Binance,0.0111,-0.0118,0.0229,1.15,2.12(0.0424%),-0.98,-0.0975,-0.29,False
2025-08-17 04:00:00,Crypto.com,MEXC,0.0111,-0.0118,0.0229,1.15,2.12(0.0424%),-0.98,-0.0975,-0.29,False
2025-08-17 04:00:00,Hyperliquid,Binance,0.01,-0.0118,0.0218,1.09,2.12(0.0424%),-1.03,-0.103,-0.31,False
2025-08-16 20:00:00,Bitmex,Binance,0.0215,-0.0071,0.0286,1.43,2.12(0.0424%),-0.69,-0.069,-0.21,False
2025-08-16 20:00:00,Bitmex,MEXC,0.0215,-0.0071,0.0286,1.43,2.12(0.0424%),-0.69,-0.069,-0.21,False
2025-08-16 20:00:00,Bitmex,Gate,0.0215,-0.006,0.0275,1.37,2.12(0.0424%),-0.75,-0.0745,-0.22,False
2025-08-16 20:00:00,Bitmex,CoinEx,0.0215,-0.0011,0.0226,1.13,2.12(0.0424%),-0.99,-0.099,-0.3,False
2025-08-16 20:00:00,Bitmex,OKX,0.0215,-0.0002,0.0217,1.08,2.12(0.0424%),-1.04,-0.1035,-0.31,False
2025-08-16 12:00:00,Bitmex,Binance,0.0202,-0.0064,0.0266,1.33,2.12(0.0424%),-0.79,-0.079,-0.24,False
2025-08-16 12:00:00,Bitmex,MEXC,0.0202,-0.006,0.0262,1.31,2.12(0.0424%),-0.81,-0.081,-0.24,False
2025-08-16 12:00:00,Bitmex,Gate,0.0202,-0.0054,0.0256,1.28,2.12(0.0424%),-0.84,-0.084,-0.25,False
2025-08-16 12:00:00,Bitmex,Crypto.com,0.0202,-0.0048,0.025,1.25,2.12(0.0424%),-0.87,-0.087,-0.26,False
2025-08-16 12:00:00,Bitmex,KuCoin,0.0202,-0.0048,0.025,1.25,2.12(0.0424%),-0.87,-0.087,-0.26,False
2025-08-16 04:00:00,Bitmex,Crypto.com,0.01,-0.0183,0.0283,1.42,2.12(0.0424%),-0.71,-0.0705,-0.21,False
2025-08-16 04:00:00,Hyperliquid,Crypto.com,0.01,-0.0183,0.0283,1.42,2.12(0.0424%),-0.71,-0.0705,-0.21,False
2025-08-16 04:00:00,KuCoin,Crypto.com,0.0084,-0.0183,0.0267,1.34,2.12(0.0424%),-0.78,-0.0785,-0.24,False
2025-08-16 04:00:00,MEXC,Crypto.com,0.005,-0.0183,0.0233,1.17,2.12(0.0424%),-0.96,-0.0955,-0.29,False
2025-08-16 04:00:00,HTX,Crypto.com,0.005,-0.0183,0.0233,1.17,2.12(0.0424%),-0.96,-0.0955,-0.29,False
