Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.0055%/h),NetPnL,ROI(%),ROI_day(%),BelowMin
2025-08-20 11:47:00,Crypto.com,Bitmex,0.0812,-0.007,0.0882,4.41,2.2(0.044%),2.21,0.221,0.66,False
2025-08-20 11:47:00,Crypto.com,OKX,0.0812,-0.003,0.0842,4.21,2.2(0.044%),2.01,0.201,0.6,False
2025-08-20 11:47:00,Crypto.com,BingX,0.0812,-0.0017,0.0829,4.14,2.2(0.044%),1.94,0.1945,0.58,False
2025-08-20 11:47:00,Crypto.com,CoinEx,0.0812,0.0,0.0812,4.06,2.2(0.044%),1.86,0.186,0.56,False
2025-08-20 11:47:00,Crypto.com,Gate,0.0812,0.0012,0.08,4.0,2.2(0.044%),1.8,0.18,0.54,False
2025-08-20 04:00:00,Crypto.com,Bitmex,0.0445,-0.0285,0.073,3.65,2.2(0.044%),1.45,0.145,0.44,False
2025-08-20 04:00:00,Crypto.com,Gate,0.0445,-0.008,0.0525,2.62,2.2(0.044%),0.43,0.0425,0.13,False
2025-08-20 04:00:00,Crypto.com,CoinEx,0.0445,0.0,0.0445,2.23,2.2(0.044%),0.03,0.0025,0.01,False
2025-08-20 04:00:00,Crypto.com,BingX,0.0445,0.0009,0.0436,2.18,2.2(0.044%),-0.02,-0.002,-0.01,False
2025-08-20 04:00:00,Crypto.com,Bybit,0.0445,0.0013,0.0432,2.16,2.2(0.044%),-0.04,-0.004,-0.01,False
2025-08-19 20:00:00,Crypto.com,Bitmex,0.0379,-0.0548,0.0927,4.64,2.2(0.044%),2.44,0.2435,0.73,False
2025-08-19 20:00:00,Crypto.com,Hyperliquid,0.0379,-0.0369,0.0748,3.74,2.2(0.044%),1.54,0.154,0.46,False
2025-08-19 20:00:00,Crypto.com,CoinEx,0.0379,-0.0219,0.0598,2.99,2.2(0.044%),0.79,0.079,0.24,False
2025-08-19 20:00:00,HTX,Bitmex,0.005,-0.0548,0.0598,2.99,2.2(0.044%),0.79,0.079,0.24,False
2025-08-19 20:00:00,Crypto.com,Binance,0.0379,-0.0214,0.0593,2.97,2.2(0.044%),0.77,0.0765,0.23,False
2025-08-19 12:00:00,Crypto.com,Bitmex,0.0195,-0.0782,0.0977,4.88,2.2(0.044%),2.69,0.2685,0.81,False
2025-08-19 12:00:00,HTX,Bitmex,0.005,-0.0782,0.0832,4.16,2.2(0.044%),1.96,0.196,0.59,False
2025-08-19 12:00:00,Bybit,Bitmex,0.0013,-0.0782,0.0795,3.98,2.2(0.044%),1.78,0.1775,0.53,False
2025-08-19 12:00:00,Gate,Bitmex,0.0012,-0.0782,0.0794,3.97,2.2(0.044%),1.77,0.177,0.53,False
2025-08-19 12:00:00,Bitunix,Bitmex,-0.0015,-0.0782,0.0767,3.83,2.2(0.044%),1.64,0.1635,0.49,False
2025-08-19 04:00:00,KuCoin,Hyperliquid,0.0057,-0.1082,0.1139,5.7,2.2(0.044%),3.5,0.3495,1.05,False
2025-08-19 04:00:00,HTX,Hyperliquid,0.005,-0.1082,0.1132,5.66,2.2(0.044%),3.46,0.346,1.04,False
2025-08-19 04:00:00,Bybit,Hyperliquid,-0.0032,-0.1082,0.105,5.25,2.2(0.044%),3.05,0.305,0.92,False
2025-08-19 04:00:00,OKX,Hyperliquid,-0.0184,-0.1082,0.0898,4.49,2.2(0.044%),2.29,0.229,0.69,False
