Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.0076%/h),NetPnL,ROI(%),ROI_day(%),BelowMin
2025-08-21 05:37:00,Crypto.com,Bybit,0.0652,-0.033,0.0982,4.91,3.04(0.0608%),1.87,0.187,0.56,False
2025-08-21 05:37:00,Crypto.com,Bitunix,0.0652,-0.0283,0.0935,4.67,3.04(0.0608%),1.63,0.1635,0.49,False
2025-08-21 05:37:00,Crypto.com,Binance,0.0652,-0.0278,0.093,4.65,3.04(0.0608%),1.61,0.161,0.48,False
2025-08-21 05:37:00,Crypto.com,MEXC,0.0652,-0.0275,0.0927,4.63,3.04(0.0608%),1.59,0.1595,0.48,False
2025-08-21 05:37:00,Crypto.com,KuCoin,0.0652,-0.0173,0.0825,4.12,3.04(0.0608%),1.08,0.1085,0.33,False
2025-08-21 04:00:00,KuCoin,MEXC,0.0061,-0.0207,0.0268,1.34,3.04(0.0608%),-1.7,-0.17,-0.51,False
2025-08-21 04:00:00,KuCoin,Bitunix,0.0061,-0.0205,0.0266,1.33,3.04(0.0608%),-1.71,-0.171,-0.51,False
2025-08-21 04:00:00,KuCoin,Binance,0.0061,-0.0203,0.0264,1.32,3.04(0.0608%),-1.72,-0.172,-0.52,False
2025-08-21 04:00:00,Bitget,MEXC,0.005,-0.0207,0.0257,1.29,3.04(0.0608%),-1.75,-0.1755,-0.53,False
2025-08-21 04:00:00,HTX,MEXC,0.005,-0.0207,0.0257,1.29,3.04(0.0608%),-1.75,-0.1755,-0.53,False
2025-08-20 20:00:00,Crypto.com,Binance,0.0323,-0.0057,0.038,1.9,3.04(0.0608%),-1.14,-0.114,-0.34,False
2025-08-20 20:00:00,Crypto.com,Bitunix,0.0323,-0.0052,0.0375,1.88,3.04(0.0608%),-1.16,-0.1165,-0.35,False
2025-08-20 20:00:00,Crypto.com,MEXC,0.0323,-0.0052,0.0375,1.88,3.04(0.0608%),-1.16,-0.1165,-0.35,False
