Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.0045%/h),NetPnL,ROI(%),ROI_day(%),BelowMin
2025-08-18 04:15:00,Bitmex,CoinEx,0.01,0.0,0.01,0.5,1.8(0.036%),-1.3,-0.13,-0.39,True
2025-08-18 04:00:00,KuCoin,Crypto.com,0.0225,-0.0259,0.0484,2.42,1.8(0.036%),0.62,0.062,0.19,
2025-08-18 04:00:00,HTX,Crypto.com,0.01,-0.0259,0.0359,1.79,1.8(0.036%),-0.0,-0.0005,-0.0,
2025-08-18 04:00:00,Bitmex,Crypto.com,0.01,-0.0259,0.0359,1.79,1.8(0.036%),-0.0,-0.0005,-0.0,
2025-08-18 04:00:00,Hyperliquid,Crypto.com,0.01,-0.0259,0.0359,1.79,1.8(0.036%),-0.0,-0.0005,-0.0,
2025-08-18 04:00:00,OKX,Crypto.com,0.005,-0.0259,0.0309,1.55,1.8(0.036%),-0.25,-0.0255,-0.08,
2025-08-17 20:00:00,Bitmex,Crypto.com,0.01,-0.0375,0.0475,2.38,1.8(0.036%),0.58,0.0575,0.17,
2025-08-17 20:00:00,HTX,Crypto.com,0.01,-0.0375,0.0475,2.38,1.8(0.036%),0.58,0.0575,0.17,
2025-08-17 20:00:00,Bitunix,Crypto.com,0.0082,-0.0375,0.0457,2.29,1.8(0.036%),0.49,0.0485,0.15,
2025-08-17 20:00:00,CoinEx,Crypto.com,0.0,-0.0375,0.0375,1.88,1.8(0.036%),0.08,0.0075,0.02,
2025-08-17 20:00:00,BingX,Crypto.com,-0.0033,-0.0375,0.0342,1.71,1.8(0.036%),-0.09,-0.009,-0.03,
2025-08-17 12:00:00,Crypto.com,KuCoin,0.0165,-0.0215,0.038,1.9,1.8(0.036%),0.1,0.01,0.03,
2025-08-17 12:00:00,HTX,KuCoin,0.01,-0.0215,0.0315,1.57,1.8(0.036%),-0.22,-0.0225,-0.07,
