Symbol,Time,Short@,Long@,Short(%),Long(%),AbsSpread(%),GrossPnL,BorrowCost(0.0048%/h),NetPnL,ROI(%),ROI_day(%),BelowMin,BorrowCost(0.0001%/h),BorrowCost(0.005%/h),BorrowCost(0.0002%/h),BorrowCost(0.0067%/h),BorrowCost(0.003%/h),BorrowCost(0.0007%/h),BorrowCost(0.009%/h),BorrowCost(0.0107%/h),BorrowCost(0.004%/h),BorrowCost(0.0055%/h)
BAND,2025-08-21 02:45:00,Bitget,Crypto.com,-0.2369,-0.473,0.2361,11.8,1.92(0.0384%),9.88,0.9885,2.97,False,,,,,,,,,,
BAND,2025-08-21 02:45:00,Bybit,Crypto.com,-0.2416,-0.473,0.2314,11.57,1.92(0.0384%),9.65,0.965,2.89,False,,,,,,,,,,
BAND,2025-08-21 02:45:00,Gate,Crypto.com,-0.2678,-0.473,0.2052,10.26,1.92(0.0384%),8.34,0.834,2.5,False,,,,,,,,,,
BAND,2025-08-21 02:45:00,OKX,Crypto.com,-0.2816,-0.473,0.1914,9.57,1.92(0.0384%),7.65,0.765,2.29,False,,,,,,,,,,
BAND,2025-08-21 02:45:00,KuCoin,Crypto.com,-0.29,-0.473,0.183,9.15,1.92(0.0384%),7.23,0.723,2.17,False,,,,,,,,,,
HUMA,2025-08-21 02:52:00,HTX,OKX,-0.0418,-0.1407,0.0989,4.94,,3.74,0.3745,1.12,False,,,,,1.2(0.024%),,,,,
HUMA,2025-08-21 02:52:00,HTX,Bitget,-0.0418,-0.1403,0.0985,4.92,,3.72,0.3725,1.12,False,,,,,1.2(0.024%),,,,,
HUMA,2025-08-21 02:52:00,HTX,CoinEx,-0.0418,-0.1391,0.0973,4.87,,3.67,0.3665,1.1,False,,,,,1.2(0.024%),,,,,
HUMA,2025-08-21 02:52:00,HTX,KuCoin,-0.0418,-0.1388,0.097,4.85,,3.65,0.365,1.1,False,,,,,1.2(0.024%),,,,,
HUMA,2025-08-21 02:52:00,HTX,Bitunix,-0.0418,-0.138,0.0962,4.81,,3.61,0.361,1.08,False,,,,,1.2(0.024%),,,,,
MAGIC,2025-08-21 02:55:00,Gate,Crypto.com,0.0025,-0.0804,0.0829,4.14,,-0.14,-0.0135,-0.04,False,,,,,,,,4.28(0.0856%),,
MAGIC,2025-08-21 02:55:00,Bybit,Crypto.com,0.0019,-0.0804,0.0823,4.11,,-0.17,-0.0165,-0.05,False,,,,,,,,4.28(0.0856%),,
MAGIC,2025-08-21 02:55:00,BingX,Crypto.com,0.0004,-0.0804,0.0808,4.04,,-0.24,-0.024,-0.07,False,,,,,,,,4.28(0.0856%),,
HYPE,2025-08-21 02:53:00,Crypto.com,MEXC,0.0741,-0.001,0.0751,3.76,,3.48,0.3475,1.04,False,,,,,,0.28(0.0056%),,,,
MAGIC,2025-08-21 02:55:00,OKX,Crypto.com,-0.0063,-0.0804,0.0741,3.71,,-0.58,-0.0575,-0.17,False,,,,,,,,4.28(0.0856%),,
GAS,2025-08-21 02:51:00,Bitget,CoinEx,0.005,-0.0688,0.0738,3.69,,1.01,0.101,0.3,False,,,,2.68(0.0536%),,,,,,
GAS,2025-08-21 02:51:00,Gate,CoinEx,0.005,-0.0688,0.0738,3.69,,1.01,0.101,0.3,False,,,,2.68(0.0536%),,,,,,
GAS,2025-08-21 02:51:00,BingX,CoinEx,0.005,-0.0688,0.0738,3.69,,1.01,0.101,0.3,False,,,,2.68(0.0536%),,,,,,
MAGIC,2025-08-21 02:55:00,KuCoin,Crypto.com,-0.0078,-0.0804,0.0726,3.63,,-0.65,-0.065,-0.2,False,,,,,,,,4.28(0.0856%),,
GAS,2025-08-21 02:51:00,OKX,CoinEx,0.0031,-0.0688,0.0719,3.6,,0.92,0.0915,0.27,False,,,,2.68(0.0536%),,,,,,
