Time,Binance,Bybit,OKX,Gate,Bitget,Crypto.com,Bitunix,MEXC,KuCoin
2025-08-20 12:20,-0.0071%,0.0100%,-0.0110%,-0.0225%,0.0100%,0.0264%,0.0086%,-0.0074%,-0.0208%
2025-08-20 12:00,-0.0117%,-0.0002%,-0.0158%,0.0100%,0.0100%,-0.1768%,0.0140%,-0.0137%,-0.0268%
2025-08-20 04:00,-0.0080%,0.0100%,0.0005%,0.0100%,0.0100%,-0.0713%,0.0079%,-0.0079%,-0.0410%
2025-08-19 20:00,0.0029%,0.0100%,0.0100%,0.0088%,0.0100%,-0.0958%,0.0026%,0.0026%,0.0222%
2025-08-19 12:00,0.0032%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0613%,0.0030%,0.0030%,-0.0200%
2025-08-19 04:00,0.0012%,0.0100%,0.0100%,0.0100%,0.0100%,-0.1021%,0.0015%,0.0018%,0.0046%
2025-08-18 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0561%,0.0093%,0.0093%,0.0039%
2025-08-18 12:00,0.0032%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0365%,0.0028%,0.0028%,-0.0194%
2025-08-18 04:00,0.0016%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0232%,0.0012%,0.0014%,0.0036%
2025-08-17 20:00,0.0096%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0196%,0.0098%,0.0095%,-0.0125%
2025-08-17 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0456%,0.0100%,0.0100%,-0.0032%
2025-08-17 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0314%,0.0100%,0.0100%,-0.0711%
2025-08-16 20:00,-0.0089%,0.0003%,-0.0303%,0.0100%,0.0100%,-0.1419%,0.0091%,-0.0091%,-0.0310%
2025-08-16 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0846%,0.0100%,0.0100%,-0.0311%
2025-08-16 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0979%,0.0100%,0.0100%,-0.0064%
2025-08-15 20:00,0.0100%,0.0100%,0.0100%,0.0032%,0.0100%,-0.0815%,0.0100%,0.0100%,0.0153%
2025-08-15 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0657%,0.0100%,0.0100%,-0.0042%
2025-08-15 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0845%,0.0100%,0.0100%,-0.0004%
2025-08-14 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0748%,0.0100%,0.0100%,0.0126%
2025-08-14 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0283%,0.0100%,0.0100%,0.0197%
2025-08-14 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0169%,0.0100%,0.0100%,0.0123%
2025-08-13 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0389%,0.0100%,0.0100%,0.0003%
2025-08-13 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0879%,0.0100%,0.0100%,0.0015%
2025-08-13 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0229%,0.0100%,0.0100%,0.0005%
2025-08-12 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0254%,0.0100%,0.0100%,-0.0159%
2025-08-12 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0788%,0.0100%,0.0100%,0.0113%
2025-08-12 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0607%,0.0100%,0.0100%,0.0137%
2025-08-11 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0158%,0.0100%,0.0100%,0.0228%
2025-08-11 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0706%,0.0100%,0.0100%,0.0066%
2025-08-11 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0168%,0.0100%,0.0100%,0.0025%
2025-08-10 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0494%,0.0100%,0.0100%,0.0123%
2025-08-10 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0312%,0.0100%,0.0100%,0.0123%
2025-08-10 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0018%,0.0100%,0.0100%,-0.0133%
2025-08-09 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0270%,0.0100%,0.0100%,-0.0105%
2025-08-09 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0547%,0.0100%,0.0100%,-0.0141%
2025-08-09 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0354%,0.0100%,0.0100%,-0.0308%
2025-08-08 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0673%,0.0100%,0.0100%,-0.0119%
2025-08-08 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0031%,0.0100%,0.0100%,-0.0139%
2025-08-08 04:00,0.0100%,0.0100%,0.0100%,0.0026%,0.0100%,-0.0964%,0.0100%,0.0100%,-0.0122%
2025-08-07 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0849%,0.0100%,0.0100%,0.0130%
2025-08-07 12:00,0.0100%,0.0100%,0.0100%,0.0074%,0.0100%,-0.0587%,0.0100%,0.0100%,-0.0183%
2025-08-07 04:00,0.0100%,0.0100%,0.0100%,0.0056%,0.0100%,-0.1046%,0.0100%,0.0100%,-0.0018%
2025-08-06 20:00,0.0006%,0.0059%,0.0100%,-0.0093%,0.0100%,-0.1231%,-0.0196%,0.0000%,-0.0013%
2025-08-06 12:00,0.0029%,0.0072%,0.0100%,-0.0061%,0.0100%,-0.1268%,0.0024%,0.0024%,-0.0199%
2025-08-06 04:00,0.0068%,0.0100%,0.0100%,0.0038%,0.0100%,-0.0719%,0.0070%,0.0070%,-0.0414%
2025-08-05 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0562%,0.0100%,0.0100%,-0.0196%
2025-08-05 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0083%,0.0100%,0.0100%,-0.0162%
2025-08-05 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0831%,0.0100%,0.0100%,-0.0124%
2025-08-04 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0779%,0.0100%,0.0100%,-0.0416%
2025-08-04 12:00,0.0085%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0868%,0.0084%,0.0084%,-0.0423%
2025-08-04 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0056%,0.0100%,0.0100%,-0.0272%
2025-08-03 20:00,0.0100%,0.0100%,0.0100%,-0.0037%,0.0100%,-0.0691%,0.0100%,0.0100%,-0.0571%
2025-08-03 12:00,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,-0.0285%,0.0100%,0.0100%,-0.0437%
2025-08-03 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0029%,0.0100%,0.0100%,-0.0249%
2025-08-02 20:00,0.0100%,0.0100%,0.0100%,0.0020%,0.0100%,-0.0026%,0.0100%,0.0100%,0.0049%
2025-08-02 12:00,0.0041%,0.0100%,0.0100%,-0.0026%,0.0100%,-0.1000%,0.0045%,0.0051%,-0.0123%
2025-08-02 04:00,0.0100%,0.0100%,0.0100%,-0.0115%,0.0100%,-0.0879%,0.0100%,0.0100%,-0.0261%
2025-08-01 20:00,0.0100%,0.0100%,0.0100%,-0.0026%,0.0100%,-0.0189%,0.0100%,0.0100%,-0.0106%
2025-08-01 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0580%,0.0100%,0.0100%,0.0036%
2025-08-01 04:00,0.0091%,0.0100%,0.0100%,0.0100%,0.0100%,0.0418%,0.0090%,0.0090%,-0.0026%
2025-07-31 20:00,0.0065%,0.0100%,0.0100%,0.0100%,0.0100%,0.0255%,0.0063%,0.0063%,0.0125%
2025-07-31 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0626%,0.0100%,0.0100%,0.0069%
2025-07-31 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0645%,0.0100%,0.0100%,0.0002%
2025-07-30 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0017%,0.0100%,0.0100%,-0.0083%
2025-07-30 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0456%,0.0100%,0.0100%,0.0126%
2025-07-30 04:00,0.0093%,0.0100%,0.0100%,0.0009%,0.0100%,-0.0108%,0.0090%,0.0090%,-0.0094%
2025-07-29 20:00,-0.0026%,0.0100%,0.0100%,0.0027%,0.0100%,0.0395%,-0.0026%,-0.0027%,0.0003%
2025-07-29 12:00,0.0027%,0.0100%,0.0100%,-0.0036%,0.0100%,-0.0527%,0.0029%,0.0029%,-0.0039%
2025-07-29 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0257%,0.0100%,0.0100%,-0.0069%
2025-07-28 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0116%,0.0100%,0.0100%,-0.0158%
2025-07-28 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0295%,0.0100%,0.0100%,-0.0465%
2025-07-28 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0194%,0.0100%,0.0100%,-0.0554%
2025-07-27 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0639%,0.0100%,0.0100%,-0.0343%
2025-07-27 12:00,0.0100%,0.0100%,0.0100%,0.0008%,0.0100%,-0.0437%,0.0100%,0.0100%,-0.0392%
2025-07-27 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0124%,0.0100%,0.0100%,0.0063%
2025-07-26 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0228%,0.0100%,0.0100%,0.0048%
2025-07-26 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0106%,0.0100%,0.0100%,-0.0148%
2025-07-26 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0184%,0.0100%,0.0100%,-0.0131%
2025-07-25 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0083%,0.0100%,0.0100%,-0.0243%
2025-07-25 12:00,0.0083%,0.0100%,0.0100%,0.0100%,0.0100%,0.0192%,-0.0081%,0.0081%,-0.0434%
2025-07-25 04:00,0.0027%,0.0100%,0.0100%,0.0016%,0.0100%,-0.1115%,0.0024%,0.0024%,-0.0006%
2025-07-24 20:00,0.0100%,0.0100%,0.0100%,0.0093%,0.0100%,-0.0301%,0.0100%,0.0100%,-0.0733%
2025-07-24 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0379%,0.0100%,0.0100%,-0.0538%
2025-07-24 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0273%,0.0100%,0.0100%,-0.0479%
2025-07-23 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0248%,0.0100%,0.0100%,-0.0325%
2025-07-23 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0160%,0.0100%,0.0100%,0.0217%
2025-07-23 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0139%,0.0100%,0.0100%,0.0338%
2025-07-22 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0430%,0.0100%,0.0100%,0.0432%
2025-07-22 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0155%,0.0100%,0.0100%,-0.0038%
2025-07-22 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0801%,0.0100%,0.0100%,0.0205%
2025-07-21 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0435%,0.0105%,0.0100%,-0.0140%
2025-07-21 12:00,0.0100%,0.0120%,0.0100%,0.0100%,0.0100%,0.0907%,0.0106%,0.0100%,0.0309%
2025-07-21 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0675%,0.0100%,0.0100%,-0.0172%
2025-07-20 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0926%,0.0100%,0.0100%,-0.0294%
2025-07-20 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0260%,0.0100%,0.0100%,-0.0485%
2025-07-20 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0711%,0.0100%,0.0100%,-0.0652%
2025-07-19 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,-0.0071%,0.0100%,0.0100%,-0.0450%
2025-07-19 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0048%,0.0100%,0.0100%,-0.0088%
2025-07-19 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0234%,0.0100%,0.0100%,-0.0262%
2025-07-18 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0331%,0.0100%,0.0100%,-0.0436%
