Time,Bitmex,Binance,Bybit,OKX,HTX,Gate,Bitget,CoinEx,BingX,Crypto.com,Bitunix,MEXC,Hyperliquid,KuCoin
2025-08-18 13:33,0.0100%,-0.0084%,0.0025%,-0.0041%,0.0050%,-0.0109%,-0.0045%,0.0000%,-0.0098%,-0.0035%,-0.0097%,-0.0097%,0.0100%,-0.0225%
2025-08-18 12:00,0.0100%,-0.0091%,0.0025%,-0.0142%,0.0050%,-0.0096%,0.0050%,0.0000%,-0.0143%,-0.0004%,-0.0094%,-0.0094%,0.0100%,-0.0112%
2025-08-18 04:00,0.0100%,-0.0034%,0.0025%,0.0004%,0.0050%,-0.0058%,0.0032%,0.0000%,-0.0033%,-0.0157%,-0.0031%,-0.0032%,0.0100%,-0.0189%
2025-08-17 20:00,0.0100%,-0.0021%,0.0025%,-0.0041%,0.0050%,0.0016%,0.0050%,0.0000%,0.0050%,-0.0264%,0.0017%,-0.0017%,0.0100%,-0.0006%
2025-08-17 12:00,0.0100%,0.0005%,0.0025%,0.0050%,0.0050%,-0.0012%,0.0025%,0.0000%,0.0050%,0.0163%,0.0011%,0.0011%,0.0100%,0.0095%
2025-08-17 04:00,0.0100%,-0.0051%,0.0025%,-0.0174%,0.0050%,-0.0141%,-0.0025%,0.0000%,0.0025%,-0.0161%,-0.0049%,-0.0048%,0.0100%,0.0023%
2025-08-16 20:00,0.0100%,-0.0091%,0.0025%,-0.0383%,0.0050%,-0.0032%,-0.0252%,0.0000%,0.0025%,0.0045%,-0.0090%,-0.0090%,0.0100%,-0.0083%
2025-08-16 12:00,0.0100%,-0.0155%,0.0025%,-0.0176%,0.0050%,0.0050%,-0.0206%,0.0000%,0.0025%,-0.0077%,-0.0150%,-0.0149%,0.0100%,-0.0107%
2025-08-16 04:00,0.0100%,0.0033%,0.0025%,0.0050%,0.0050%,0.0050%,0.0050%,0.0000%,0.0050%,-0.0090%,0.0029%,0.0029%,-0.0025%,-0.0021%
2025-08-15 20:00,0.0100%,-0.0197%,0.0025%,0.0050%,-0.0897%,-0.0128%,-0.0060%,-0.0114%,0.0050%,0.0031%,0.0197%,-0.0197%,-0.0470%,0.0034%
2025-08-15 12:00,0.0100%,-0.0358%,0.0025%,-0.0381%,-0.0415%,-0.0489%,-0.0291%,-0.0052%,0.0025%,-0.0394%,0.0353%,-0.0353%,-0.0445%,-0.0255%
2025-08-15 04:00,0.0100%,-0.0297%,0.0025%,-0.0197%,-0.0439%,-0.0155%,0.0012%,-0.0132%,0.0025%,-0.0498%,0.0308%,-0.0302%,-0.0187%,-0.0480%
2025-08-14 20:00,0.0100%,-0.0303%,0.0025%,-0.0150%,-0.0773%,-0.0202%,-0.0302%,-0.0011%,0.0025%,-0.0223%,0.0304%,-0.0302%,-0.0246%,-0.0310%
2025-08-14 12:00,0.0100%,-0.1118%,-0.0043%,-0.0938%,-0.0995%,-0.1320%,-0.0882%,-0.4910%,-0.0060%,-0.1389%,0.1143%,-0.1127%,-0.1266%,-0.1248%
2025-08-14 04:00,0.0100%,-0.0364%,0.0025%,-0.0148%,-0.0438%,0.0050%,-0.0010%,-0.4866%,0.0025%,-0.0414%,-0.0356%,-0.0359%,-0.0134%,-0.0180%
2025-08-13 20:00,0.0100%,0.0050%,0.0025%,0.0050%,-0.0111%,0.0050%,0.0050%,-0.0021%,0.0050%,-0.0145%,0.0050%,0.0050%,0.0100%,0.0063%
2025-08-13 12:00,0.0100%,0.0050%,0.0020%,0.0050%,0.0050%,0.0050%,0.0050%,0.0000%,0.0050%,0.0360%,0.0050%,0.0050%,0.0100%,-0.0030%
2025-08-13 04:00,0.0100%,0.0050%,0.0025%,0.0050%,0.0050%,0.0050%,0.0050%,-0.0103%,0.0050%,-0.0310%,0.0050%,0.0050%,0.0100%,-0.0262%
2025-08-12 20:00,0.0100%,0.0050%,0.0025%,0.0050%,0.0050%,0.0050%,0.0050%,0.0000%,0.0050%,0.0177%,0.0050%,0.0050%,0.0100%,-0.0072%
2025-08-12 12:00,0.0100%,-0.0045%,0.0025%,0.0050%,0.0050%,0.0050%,0.0050%,-0.0491%,0.0050%,-0.0482%,0.0045%,-0.0045%,0.0100%,-0.0297%
2025-08-12 04:00,0.0100%,-0.0191%,0.0025%,-0.0055%,0.0019%,0.0050%,-0.0305%,-0.0559%,0.0025%,-0.0302%,-0.0206%,-0.0206%,-0.0461%,-0.0703%
2025-08-11 20:00,0.0100%,-0.0468%,-0.0289%,-0.0441%,-0.0231%,-0.0318%,-0.0595%,-0.0769%,-0.0589%,-0.0786%,-0.0466%,-0.0466%,-0.0764%,-0.0813%
2025-08-11 12:00,0.0100%,-0.0374%,-0.0145%,-0.0290%,-0.0185%,-0.0317%,-0.0395%,-0.0583%,-0.0112%,-0.0411%,0.0391%,-0.0391%,-0.0433%,-0.0625%
2025-08-11 04:00,0.0100%,-0.0140%,0.0025%,-0.0001%,0.0007%,0.0035%,0.0050%,-0.0357%,0.0050%,0.0043%,0.0137%,-0.0137%,-0.0157%,-0.0357%
2025-08-10 20:00,0.0100%,-0.0316%,-0.0144%,-0.0122%,-0.0151%,0.0050%,-0.0287%,-0.0588%,-0.0077%,-0.0268%,0.0291%,-0.0300%,-0.0056%,-0.0589%
2025-08-10 12:00,0.0100%,-0.0150%,-0.0190%,-0.0160%,-0.0443%,-0.0287%,-0.0289%,-0.0666%,-0.0102%,-0.0422%,0.0145%,-0.0148%,-0.0437%,-0.0390%
2025-08-10 04:00,0.0100%,-0.0085%,0.0025%,0.0026%,-0.0159%,-0.0098%,-0.0115%,-0.0371%,-0.0110%,-0.0081%,0.0086%,-0.0086%,0.0100%,-0.0377%
2025-08-09 20:00,0.0100%,-0.0245%,-0.0102%,0.0050%,-0.0256%,-0.0153%,-0.0121%,-0.0727%,0.0050%,-0.0632%,0.0237%,-0.0241%,-0.0474%,-0.0693%
2025-08-09 12:00,0.0100%,-0.0249%,-0.0187%,-0.0100%,-0.0208%,-0.0107%,-0.0099%,-0.0635%,-0.0066%,-0.0144%,0.0255%,-0.0255%,-0.0689%,-0.0670%
2025-08-09 04:00,0.0100%,-0.0268%,-0.0306%,0.0015%,-0.0507%,-0.0213%,-0.0264%,-0.0712%,0.0019%,-0.0567%,0.0265%,-0.0265%,-0.1250%,-0.0628%
2025-08-08 20:00,0.0100%,-0.0350%,-0.0198%,-0.0125%,-0.0540%,-0.0318%,-0.0144%,-0.0815%,-0.0076%,-0.0169%,0.0342%,-0.0342%,-0.0438%,-0.0653%
2025-08-08 12:00,0.0100%,-0.0541%,-0.0191%,-0.0284%,0.0050%,-0.0211%,-0.0355%,-0.0811%,-0.0135%,0.0046%,0.0547%,-0.0547%,-0.0700%,-0.0808%
2025-08-08 04:00,0.0100%,-0.0157%,-0.0067%,-0.0220%,-0.0009%,-0.0397%,-0.0236%,-0.1089%,-0.0050%,-0.0914%,0.0081%,-0.0168%,-0.0427%,-0.0784%
2025-08-07 20:00,0.0100%,-0.0468%,-0.0044%,-0.0343%,-0.0053%,-0.0250%,-0.0289%,-0.1113%,-0.0031%,-0.0785%,-0.0470%,-0.0470%,-0.0543%,-0.0749%
2025-08-07 12:00,0.0100%,-0.0539%,-0.0378%,-0.0434%,-0.0200%,-0.0270%,-0.0641%,-0.0801%,-0.0256%,0.0043%,-0.0533%,-0.0533%,-0.1003%,-0.0692%
2025-08-07 04:00,0.0100%,-0.0341%,-0.0017%,-0.0426%,-0.0330%,-0.0330%,-0.0262%,-0.0819%,0.0005%,-0.0460%,-0.0349%,-0.0344%,-0.0647%,-0.0729%
2025-08-06 20:00,0.0100%,-0.0340%,-0.0050%,-0.0344%,-0.0164%,-0.0315%,-0.0061%,-0.0884%,-0.0027%,-0.0267%,-0.0114%,-0.0338%,-0.0318%,-0.0661%
2025-08-06 12:00,0.0100%,-0.0430%,-0.0012%,-0.0435%,-0.0186%,-0.0359%,-0.0348%,-0.0734%,-0.0015%,-0.0408%,-0.0150%,-0.0444%,-0.0460%,-0.0826%
2025-08-06 04:00,0.0100%,-0.0285%,-0.0037%,-0.0342%,0.0035%,-0.0342%,-0.0163%,-0.1032%,-0.0041%,-0.1532%,-0.0299%,-0.0299%,-0.0824%,-0.1086%
2025-08-05 20:00,0.0100%,-0.0650%,-0.0468%,-0.0451%,-0.0405%,-0.0634%,-0.0664%,-0.1476%,-0.0318%,-0.1629%,-0.0654%,-0.0654%,-0.1261%,-0.1177%
2025-08-05 12:00,0.0100%,-0.0646%,-0.0430%,-0.0715%,-0.0261%,-0.0683%,-0.0681%,-0.1069%,-0.0298%,-0.0627%,-0.0645%,-0.0642%,-0.1044%,-0.1015%
2025-08-05 04:00,0.0100%,-0.0340%,-0.0074%,-0.0188%,0.0050%,-0.0220%,-0.0245%,-0.0657%,-0.0051%,0.0127%,-0.0337%,-0.0337%,-0.0673%,-0.0779%
2025-08-04 20:00,0.0100%,-0.0232%,-0.0318%,-0.0414%,-0.0088%,-0.0150%,-0.0228%,-0.0746%,-0.0165%,-0.0355%,-0.0241%,-0.0237%,-0.0492%,-0.0972%
2025-08-04 12:00,0.0100%,-0.0488%,-0.0250%,-0.0457%,-0.0580%,-0.0394%,-0.0483%,-0.0905%,-0.0173%,-0.0974%,-0.0488%,-0.0488%,-0.1150%,-0.1257%
2025-08-04 04:00,0.0100%,-0.0761%,-0.0212%,-0.0588%,-0.0886%,-0.0569%,-0.0542%,-0.0974%,-0.0153%,-0.0495%,-0.0757%,-0.0757%,-0.0847%,-0.1093%
2025-08-03 20:00,0.0100%,-0.0623%,-0.0091%,-0.0466%,-0.0606%,-0.0635%,-0.0498%,-0.1099%,-0.0067%,-0.0677%,-0.0634%,-0.0634%,-0.1229%,-0.1025%
2025-08-03 12:00,0.0100%,-0.0715%,-0.0151%,-0.0428%,-0.0413%,-0.0407%,-0.0157%,-0.1145%,-0.0112%,-0.1238%,-0.0721%,-0.0721%,-0.1154%,-0.1229%
2025-08-03 04:00,0.0100%,-0.0960%,-0.0348%,-0.0815%,-0.0697%,-0.0642%,-0.0755%,-0.1036%,-0.0237%,-0.1049%,-0.0963%,-0.0963%,-0.1587%,-0.1120%
2025-08-02 20:00,0.0100%,-0.0570%,-0.0279%,-0.0564%,0.0050%,-0.0542%,-0.0619%,-0.0966%,-0.0206%,-0.0954%,-0.0570%,-0.0570%,-0.1215%,-0.1079%
2025-08-02 12:00,0.0100%,-0.0611%,-0.0235%,-0.0673%,-0.0555%,-0.0614%,-0.0604%,-0.1059%,-0.0666%,-0.1306%,-0.0615%,-0.0618%,-0.1096%,-0.1073%
2025-08-02 04:00,0.0100%,-0.0524%,-0.0309%,-0.0368%,-0.0100%,-0.0267%,-0.0187%,-0.0710%,-0.0517%,-0.0581%,-0.0525%,-0.0525%,-0.0879%,-0.0906%
2025-08-01 20:00,0.0100%,-0.0335%,-0.0102%,-0.0306%,0.0050%,-0.0290%,-0.0399%,-0.0849%,-0.0386%,-0.0432%,-0.0328%,-0.0328%,-0.1045%,-0.0921%
2025-08-01 12:00,0.0100%,-0.0551%,-0.0007%,-0.0460%,-0.0102%,-0.0567%,-0.0578%,-0.1179%,-0.0598%,-0.0947%,-0.0552%,-0.0552%,-0.0923%,-0.1344%
2025-08-01 04:00,0.0100%,-0.0929%,-0.0507%,-0.0755%,-0.0745%,-0.0595%,-0.0813%,-0.1347%,-0.0920%,-0.1014%,-0.0932%,-0.0932%,-0.1301%,-0.1298%
2025-07-31 20:00,0.0100%,-0.0482%,-0.0191%,-0.0408%,-0.0346%,-0.0366%,-0.0505%,-0.0913%,-0.0498%,-0.0797%,-0.0478%,-0.0478%,-0.1185%,-0.0840%
2025-07-31 12:00,0.0100%,-0.0350%,-0.0045%,-0.0187%,-0.0198%,-0.0488%,-0.0405%,-0.1066%,-0.0404%,-0.0694%,-0.0365%,-0.0365%,-0.0525%,-0.1194%
