Time,Bitmex,Binance,Bybit,OKX,HTX,Gate,Bitget,CoinEx,BingX,Crypto.com,Bitunix,MEXC,Hyperliquid,KuCoin
2025-08-19 03:13,0.0100%,0.0068%,-0.0011%,0.0100%,0.0071%,0.0009%,0.0096%,0.0000%,0.0100%,0.0022%,0.0081%,0.0069%,-0.0081%,0.0117%
2025-08-18 20:00,0.0100%,0.0071%,0.0055%,0.0100%,0.0010%,-0.0024%,0.0026%,0.0000%,0.0100%,-0.0039%,0.0081%,0.0071%,-0.0104%,0.0008%
2025-08-18 12:00,0.0100%,0.0053%,0.0024%,0.0100%,0.0074%,0.0036%,0.0029%,0.0000%,0.0100%,-0.0011%,0.0062%,0.0052%,0.0100%,0.0116%
2025-08-18 04:00,0.0100%,-0.0007%,0.0093%,0.0007%,0.0100%,0.0050%,0.0043%,0.0000%,0.0094%,-0.0064%,0.0016%,-0.0006%,-0.0005%,0.0141%
2025-08-17 20:00,0.0100%,0.0029%,0.0100%,0.0005%,0.0091%,0.0079%,0.0075%,0.0000%,0.0100%,0.0051%,0.0038%,0.0028%,0.0100%,0.0065%
2025-08-17 12:00,0.0100%,0.0018%,0.0062%,0.0081%,0.0100%,0.0056%,-0.0005%,0.0000%,0.0080%,0.0029%,0.0027%,0.0017%,0.0100%,0.0066%
2025-08-17 04:00,0.0100%,0.0047%,0.0067%,0.0027%,0.0003%,0.0036%,0.0051%,0.0000%,0.0069%,-0.0080%,0.0057%,0.0047%,0.0100%,0.0086%
2025-08-16 20:00,0.0100%,0.0082%,-0.0007%,0.0034%,0.0056%,0.0052%,0.0100%,0.0000%,0.0100%,-0.0091%,0.0092%,0.0082%,0.0100%,0.0050%
2025-08-16 12:00,0.0100%,0.0090%,0.0050%,0.0100%,0.0066%,0.0057%,0.0045%,0.0000%,0.0100%,-0.0035%,0.0101%,0.0091%,0.0100%,0.0011%
2025-08-16 04:00,0.0100%,0.0083%,0.0055%,0.0096%,0.0026%,0.0062%,0.0038%,0.0000%,0.0096%,-0.0058%,0.0093%,0.0083%,0.0100%,0.0027%
2025-08-15 20:00,0.0100%,0.0089%,0.0032%,0.0049%,0.0082%,0.0100%,0.0100%,0.0000%,0.0100%,-0.0089%,0.0098%,0.0088%,0.0100%,0.0093%
2025-08-15 12:00,0.0100%,0.0037%,0.0100%,0.0100%,0.0073%,0.0077%,0.0013%,0.0000%,0.0100%,-0.0069%,0.0047%,0.0037%,0.0100%,0.0048%
2025-08-15 04:00,0.0100%,0.0080%,0.0100%,0.0100%,0.0084%,0.0100%,0.0071%,0.0000%,0.0100%,-0.0242%,0.0090%,0.0080%,0.0100%,0.0077%
2025-08-14 20:00,0.0100%,0.0019%,0.0094%,0.0100%,0.0043%,0.0097%,0.0029%,0.0000%,0.0100%,-0.0132%,0.0029%,0.0019%,0.0100%,0.0027%
2025-08-14 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,-0.0114%,0.0110%,0.0100%,0.0207%,0.0111%
2025-08-14 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0499%,0.0110%,0.0100%,0.0260%,0.0258%
2025-08-13 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0050%,0.0128%,0.0110%,0.0100%,0.0558%,0.0095%
2025-08-13 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0336%,0.0110%,0.0100%,0.0256%,0.0146%
2025-08-13 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0070%,0.0110%,0.0100%,0.0291%,0.0191%
2025-08-12 20:00,0.0100%,0.0072%,0.0100%,0.0100%,0.0100%,0.0069%,0.0060%,0.0000%,0.0100%,0.0035%,0.0081%,0.0071%,0.0262%,0.0166%
2025-08-12 12:00,0.0100%,0.0085%,0.0031%,0.0100%,0.0100%,0.0092%,0.0064%,0.0000%,0.0100%,-0.0088%,0.0084%,0.0084%,0.0174%,0.0083%
2025-08-12 04:00,0.0100%,0.0080%,0.0100%,0.0100%,0.0100%,0.0100%,0.0039%,0.0000%,0.0100%,0.0099%,0.0081%,0.0080%,0.0100%,0.0135%
2025-08-11 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0081%,0.0100%,0.0100%,0.0100%,0.0129%
2025-08-11 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0144%,0.0100%,0.0100%,0.0208%,0.0066%
2025-08-11 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0068%,0.0100%,0.0000%,0.0050%,0.0206%,0.0100%,0.0100%,0.0100%,-0.0017%
2025-08-10 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0140%,0.0100%,0.0100%,0.0246%,0.0064%
2025-08-10 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0239%,0.0100%,0.0100%,0.0100%,0.0126%
2025-08-10 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0421%,0.0100%,0.0100%,0.0100%,0.0191%
2025-08-09 20:00,0.0100%,0.0098%,0.0002%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0142%,0.0098%,0.0098%,0.0161%,0.0228%
2025-08-09 12:00,0.0100%,0.0051%,-0.0032%,0.0100%,0.0100%,0.0089%,0.0083%,0.0000%,0.0100%,0.0057%,0.0051%,0.0051%,0.0100%,0.0132%
2025-08-09 04:00,0.0100%,0.0091%,0.0076%,0.0100%,0.0100%,0.0100%,0.0097%,0.0000%,0.0100%,-0.0012%,0.0091%,0.0091%,0.0100%,0.0108%
2025-08-08 20:00,0.0100%,0.0088%,0.0002%,0.0076%,0.0021%,0.0095%,0.0012%,0.0000%,0.0088%,0.0177%,0.0088%,0.0088%,0.0100%,0.0104%
2025-08-08 12:00,0.0100%,0.0079%,0.0089%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0504%,0.0078%,0.0078%,0.0100%,0.0127%
2025-08-08 04:00,0.0100%,0.0017%,0.0035%,0.0087%,0.0079%,0.0055%,0.0078%,0.0000%,0.0086%,0.0160%,0.0016%,0.0016%,0.0100%,0.0057%
2025-08-07 20:00,0.0100%,0.0024%,-0.0031%,0.0100%,0.0011%,-0.0027%,-0.0004%,-0.0058%,0.0100%,0.0074%,0.0024%,0.0024%,0.0100%,0.0007%
2025-08-07 12:00,0.0100%,0.0064%,0.0014%,0.0100%,0.0008%,0.0007%,0.0039%,0.0000%,0.0100%,0.0078%,0.0063%,0.0063%,0.0100%,0.0024%
2025-08-07 04:00,0.0100%,0.0076%,0.0092%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0098%,0.0075%,0.0075%,0.0100%,0.0049%
