Time,Bitmex,Binance,Bybit,OKX,HTX,Gate,Bitget,CoinEx,BingX,Crypto.com,Bitunix,MEXC,Hyperliquid,KuCoin
2025-08-22 08:37,0.0100%,0.0059%,0.0100%,0.0096%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0108%,0.0069%,0.0058%,0.0159%,0.0138%
2025-08-22 04:00,0.0100%,0.0067%,0.0100%,0.0100%,0.0100%,0.0100%,0.0026%,0.0000%,0.0100%,0.0173%,0.0068%,0.0067%,0.0161%,0.0121%
2025-08-21 20:00,0.0100%,0.0064%,0.0090%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0124%,0.0074%,0.0064%,0.0100%,0.0129%
2025-08-21 12:00,0.0100%,0.0027%,0.0077%,0.0100%,0.0100%,0.0100%,0.0077%,0.0000%,0.0100%,0.0064%,0.0037%,0.0027%,0.0102%,0.0017%
2025-08-21 04:00,0.0100%,0.0058%,0.0047%,0.0053%,0.0100%,0.0057%,0.0100%,0.0000%,0.0100%,0.0064%,0.0068%,0.0058%,0.0100%,-0.0016%
2025-08-20 20:00,0.0100%,0.0062%,0.0050%,0.0045%,0.0100%,-0.0016%,0.0037%,0.0000%,0.0061%,0.0138%,0.0070%,0.0060%,0.0100%,-0.0042%
2025-08-20 12:00,0.0100%,0.0091%,0.0100%,0.0100%,0.0100%,-0.0032%,0.0066%,0.0000%,0.0100%,0.0137%,0.0104%,0.0093%,0.0100%,0.0069%
2025-08-20 04:00,0.0100%,0.0003%,0.0100%,0.0100%,0.0100%,0.0030%,-0.0063%,0.0000%,0.0100%,0.0040%,0.0012%,0.0002%,0.0069%,0.0275%
2025-08-19 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0039%,0.0110%,0.0100%,0.0012%,0.0362%
2025-08-19 12:00,0.0100%,0.0100%,0.0095%,0.0100%,0.0100%,0.0090%,0.0100%,0.0000%,0.0100%,0.0036%,0.0110%,0.0100%,0.0060%,0.0187%
2025-08-19 04:00,0.0100%,0.0100%,0.0054%,0.0100%,0.0100%,0.0100%,0.0100%,0.0062%,0.0100%,-0.0056%,0.0110%,0.0100%,0.0100%,0.0116%
2025-08-18 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0070%,0.0085%,0.0000%,0.0100%,0.0131%,0.0110%,0.0100%,0.0100%,0.0101%
2025-08-18 12:00,0.0100%,0.0090%,-0.0010%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,-0.0016%,0.0099%,0.0089%,0.0100%,0.0135%
2025-08-18 04:00,0.0100%,0.0092%,-0.0040%,0.0095%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0045%,0.0102%,0.0092%,0.0073%,0.0229%
2025-08-17 20:00,0.0100%,0.0006%,0.0068%,0.0056%,0.0100%,0.0100%,0.0004%,0.0000%,0.0068%,0.0091%,0.0015%,0.0006%,0.0100%,0.0158%
2025-08-17 12:00,0.0100%,0.0053%,0.0015%,0.0050%,0.0100%,0.0011%,0.0074%,0.0000%,0.0074%,0.0122%,0.0063%,0.0053%,0.0100%,0.0146%
2025-08-17 04:00,0.0100%,-0.0006%,0.0002%,0.0003%,0.0100%,-0.0032%,-0.0021%,0.0000%,0.0005%,0.0093%,0.0015%,-0.0006%,0.0100%,0.0240%
2025-08-16 20:00,0.0100%,0.0047%,0.0063%,0.0058%,0.0100%,0.0038%,0.0063%,0.0000%,0.0064%,-0.0025%,0.0057%,0.0047%,0.0100%,0.0260%
2025-08-16 12:00,0.0100%,0.0020%,0.0060%,0.0100%,0.0100%,0.0100%,0.0041%,0.0000%,0.0100%,-0.0135%,0.0031%,0.0021%,0.0100%,0.0183%
2025-08-16 04:00,0.0100%,0.0091%,0.0080%,0.0100%,0.0100%,0.0100%,0.0074%,0.0000%,0.0100%,-0.0104%,0.0101%,0.0091%,0.0100%,0.0188%
2025-08-15 20:00,0.0100%,0.0060%,0.0067%,0.0100%,0.0100%,0.0100%,0.0085%,0.0000%,0.0100%,-0.0216%,0.0069%,0.0059%,0.0100%,0.0123%
2025-08-15 12:00,0.0100%,0.0065%,0.0100%,0.0100%,0.0100%,0.0100%,0.0068%,0.0000%,0.0100%,-0.0028%,0.0074%,0.0064%,0.0100%,0.0018%
2025-08-15 04:00,0.0100%,0.0098%,0.0100%,0.0100%,0.0100%,0.0100%,0.0056%,0.0000%,0.0100%,0.0015%,0.0102%,0.0094%,0.0100%,0.0060%
2025-08-14 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0045%,0.0100%,-0.0114%,0.0110%,0.0100%,0.0100%,0.0077%
2025-08-14 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0139%,0.0100%,0.0012%,0.0110%,0.0100%,0.0204%,0.0235%
2025-08-14 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0089%,0.0110%,0.0100%,0.0560%,0.0248%
2025-08-13 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0097%,0.0110%,0.0100%,0.0283%,0.0108%
2025-08-13 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0167%,0.0100%,0.0135%,0.0110%,0.0100%,0.0568%,0.0135%
2025-08-13 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0014%,0.0110%,0.0100%,0.0164%,0.0200%
2025-08-12 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0062%,0.0100%,0.0000%,0.0100%,0.0219%,0.0110%,0.0100%,0.0100%,0.0126%
2025-08-12 12:00,0.0100%,0.0100%,0.0100%,0.0047%,-0.0040%,0.0002%,0.0100%,0.0000%,0.0024%,0.0138%,0.0100%,0.0100%,0.0288%,0.0039%
2025-08-12 04:00,0.0100%,0.0100%,0.0100%,0.0100%,-0.0024%,0.0060%,0.0060%,0.0000%,0.0030%,0.0162%,0.0100%,0.0100%,0.0100%,0.0024%
2025-08-11 20:00,0.0100%,0.0037%,0.0015%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0151%,0.0037%,0.0037%,0.0100%,0.0042%
2025-08-11 12:00,0.0100%,0.0100%,0.0096%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0048%,-0.0086%,0.0100%,0.0100%,0.0186%,0.0177%
2025-08-11 04:00,0.0100%,0.0093%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,-0.0040%,0.0092%,0.0092%,0.0100%,0.0163%
2025-08-10 20:00,0.0100%,0.0089%,0.0100%,0.0100%,0.0100%,0.0100%,0.0091%,0.0033%,0.0100%,0.0118%,0.0089%,0.0089%,0.0182%,0.0130%
2025-08-10 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0015%,0.0100%,0.0045%,0.0100%,0.0100%,0.0100%,0.0250%
2025-08-10 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0009%,0.0100%,0.0133%,0.0100%,0.0100%,0.0100%,0.0394%
2025-08-09 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0099%,0.0147%,0.0100%,0.0036%,0.0100%,0.0100%,0.0289%,0.0413%
2025-08-09 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0101%,0.0100%,0.0016%,0.0100%,0.0100%,0.0250%,0.0515%
2025-08-09 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0022%,0.0100%,0.0100%,0.0031%,0.0100%,0.0114%,0.0100%,0.0100%,0.0326%,0.0438%
2025-08-08 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0203%,0.0100%,0.0100%,0.0173%,0.0535%
2025-08-08 12:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0067%,0.0100%,0.0100%,0.0167%,0.0347%
2025-08-08 04:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,-0.0060%,0.0100%,0.0100%,0.0100%,0.0210%
2025-08-07 20:00,0.0100%,0.0042%,0.0072%,0.0000%,0.0018%,-0.0092%,0.0049%,-0.0028%,0.0073%,-0.0146%,0.0041%,0.0041%,0.0100%,0.0034%
2025-08-07 12:00,0.0100%,0.0100%,0.0079%,0.0052%,-0.0180%,-0.0287%,0.0092%,0.0000%,0.0100%,0.0161%,0.0100%,0.0100%,0.0100%,0.0040%
2025-08-07 04:00,0.0100%,0.0043%,0.0100%,-0.0001%,0.0022%,-0.0061%,0.0050%,0.0000%,0.0100%,0.0108%,0.0042%,0.0042%,0.0100%,0.0047%
2025-08-06 20:00,0.0100%,0.0062%,0.0100%,0.0047%,0.0030%,-0.0045%,0.0024%,0.0000%,0.0100%,0.0145%,0.0158%,0.0061%,0.0066%,0.0086%
2025-08-06 12:00,0.0100%,0.0062%,0.0100%,0.0100%,0.0100%,0.0087%,0.0059%,0.0000%,0.0100%,0.0044%,0.0062%,0.0062%,0.0100%,0.0149%
2025-08-06 04:00,0.0100%,0.0082%,0.0100%,0.0100%,0.0084%,0.0037%,0.0100%,0.0000%,0.0100%,-0.0012%,0.0082%,0.0082%,0.0100%,0.0114%
2025-08-05 20:00,0.0100%,0.0024%,-0.0008%,0.0065%,0.0076%,0.0041%,0.0021%,0.0000%,0.0066%,0.0036%,0.0023%,0.0023%,-0.0068%,0.0229%
2025-08-05 12:00,0.0100%,0.0013%,-0.0008%,0.0080%,0.0021%,0.0088%,0.0036%,0.0000%,0.0075%,0.0033%,0.0013%,0.0013%,0.0100%,0.0126%
2025-08-05 04:00,0.0100%,0.0031%,0.0034%,0.0085%,0.0100%,0.0090%,0.0100%,0.0000%,0.0100%,-0.0008%,0.0031%,0.0031%,0.0075%,0.0068%
2025-08-04 20:00,0.0100%,0.0000%,0.0026%,0.0018%,-0.0056%,-0.0011%,-0.0023%,0.0000%,0.0027%,0.0073%,0.0000%,0.0000%,0.0100%,-0.0011%
2025-08-04 12:00,0.0100%,0.0037%,0.0083%,-0.0037%,-0.0097%,-0.0052%,0.0011%,0.0000%,0.0083%,0.0019%,0.0036%,0.0036%,-0.0024%,0.0044%
2025-08-04 04:00,0.0100%,0.0011%,0.0060%,0.0077%,0.0063%,0.0005%,0.0052%,0.0000%,0.0078%,-0.0230%,0.0010%,0.0010%,0.0100%,0.0111%
2025-08-03 20:00,0.0100%,0.0017%,-0.0031%,0.0004%,0.0100%,-0.0063%,0.0030%,0.0000%,0.0032%,0.0148%,0.0017%,0.0017%,-0.0081%,0.0035%
2025-08-03 12:00,0.0100%,0.0038%,-0.0033%,0.0030%,0.0100%,-0.0088%,0.0028%,0.0000%,0.0037%,0.0015%,0.0037%,0.0037%,-0.0093%,0.0007%
2025-08-03 04:00,0.0100%,0.0058%,0.0042%,0.0005%,0.0100%,-0.0127%,0.0022%,0.0000%,0.0058%,0.0015%,0.0058%,0.0058%,0.0015%,-0.0013%
2025-08-02 20:00,0.0100%,0.0068%,0.0100%,0.0100%,0.0100%,0.0005%,0.0090%,0.0000%,0.0100%,0.0057%,0.0068%,0.0068%,-0.0012%,0.0066%
2025-08-02 12:00,0.0100%,0.0080%,0.0098%,0.0076%,0.0100%,-0.0049%,0.0078%,0.0000%,0.0098%,-0.0174%,0.0079%,0.0079%,0.0013%,0.0051%
2025-08-02 04:00,0.0100%,0.0007%,0.0100%,-0.0014%,0.0100%,-0.0048%,0.0061%,0.0000%,0.0100%,-0.0142%,0.0006%,0.0006%,0.0022%,0.0021%
2025-08-01 20:00,0.0100%,0.0058%,0.0059%,0.0057%,0.0100%,0.0089%,0.0056%,0.0000%,0.0060%,-0.0317%,0.0056%,0.0057%,-0.0254%,0.0037%
2025-08-01 12:00,0.0100%,0.0049%,0.0003%,0.0076%,0.0100%,0.0100%,0.0049%,0.0000%,0.0078%,-0.0121%,0.0048%,0.0048%,0.0069%,0.0073%
2025-08-01 04:00,0.0100%,0.0011%,-0.0100%,0.0015%,0.0100%,0.0100%,0.0031%,0.0000%,0.0029%,-0.0217%,0.0010%,0.0010%,-0.0146%,0.0021%
2025-07-31 20:00,0.0100%,-0.0038%,-0.0099%,0.0040%,0.0100%,0.0100%,0.0020%,0.0218%,0.0040%,-0.0193%,0.0037%,-0.0037%,0.0100%,0.0027%
2025-07-31 12:00,0.0100%,-0.0012%,0.0092%,-0.0037%,0.0100%,0.0062%,0.0072%,0.0070%,0.0094%,0.0163%,0.0008%,-0.0008%,0.0100%,0.0042%
