Time,Binance,Bybit,OKX,Gate,Bitget,CoinEx,BingX,Bitunix,MEXC,Hyperliquid,KuCoin
2025-08-19 05:49,-0.0433%,0.0025%,-0.0242%,0.0050%,-0.0069%,-0.0640%,0.0025%,-0.0430%,-0.0429%,-0.0312%,-0.0506%
2025-08-19 04:00,-0.0414%,-0.0092%,-0.0255%,0.0050%,0.0050%,-0.1451%,0.0050%,-0.0412%,-0.0410%,-0.0488%,-0.0518%
2025-08-18 20:00,-0.0154%,0.0025%,-0.0195%,0.0050%,0.0050%,-0.0387%,0.0050%,-0.0161%,-0.0161%,0.0089%,-0.0193%
2025-08-18 12:00,-0.0095%,0.0025%,-0.0077%,0.0050%,0.0050%,-0.0285%,0.0050%,-0.0102%,-0.0102%,0.0068%,-0.0178%
2025-08-18 04:00,-0.0246%,0.0025%,-0.0072%,0.0050%,0.0050%,-0.0244%,0.0050%,-0.0245%,-0.0243%,0.0100%,0.0029%
2025-08-17 20:00,0.0050%,0.0025%,0.0050%,0.0050%,0.0050%,0.0000%,0.0050%,0.0050%,0.0050%,0.0100%,-0.0115%
2025-08-17 12:00,0.0050%,0.0025%,0.0050%,0.0050%,0.0050%,0.0000%,0.0050%,0.0050%,0.0050%,0.0100%,-0.0173%
2025-08-17 04:00,0.0026%,0.0025%,-0.0074%,0.0050%,0.0050%,-0.0040%,0.0050%,0.0027%,0.0027%,0.0100%,-0.0164%
2025-08-16 20:00,-0.0487%,-0.0048%,-0.0277%,-0.0334%,0.0050%,-0.0655%,0.0050%,-0.0495%,-0.0495%,-0.0719%,-0.0485%
2025-08-16 12:00,-0.0356%,0.0025%,-0.0090%,0.0050%,0.0050%,-0.0325%,0.0050%,-0.0339%,-0.0348%,-0.0482%,-0.0531%
2025-08-16 04:00,-0.0560%,-0.0009%,-0.0286%,-0.0439%,-0.0216%,-0.1519%,0.0002%,-0.0575%,-0.0575%,-0.0350%,-0.0935%
2025-08-15 20:00,0.0050%,0.0025%,0.0050%,0.0050%,0.0050%,0.0000%,0.0050%,0.0050%,0.0050%,0.0100%,-0.0145%
2025-08-15 12:00,-0.0165%,0.0025%,-0.0039%,0.0050%,0.0050%,0.0000%,0.0050%,-0.0157%,-0.0157%,0.0100%,-0.0239%
2025-08-15 04:00,-0.0101%,0.0025%,0.0050%,0.0050%,0.0050%,-0.0148%,0.0050%,0.0121%,-0.0116%,0.0100%,-0.0167%
2025-08-14 20:00,0.0050%,0.0025%,0.0050%,0.0050%,0.0050%,-0.0066%,0.0050%,0.0050%,0.0050%,0.0100%,-0.0155%
2025-08-14 12:00,-0.0088%,0.0025%,0.0050%,0.0050%,0.0050%,-0.4754%,0.0050%,-0.0093%,-0.0089%,0.0100%,-0.0127%
2025-08-14 04:00,0.0050%,0.0025%,0.0050%,0.0050%,0.0050%,-0.1676%,0.0050%,0.0050%,0.0050%,0.0100%,-0.0038%
2025-08-13 20:00,0.0050%,0.0025%,0.0050%,0.0050%,0.0050%,-0.0277%,0.0050%,0.0050%,0.0050%,0.0100%,0.0080%
2025-08-13 12:00,0.0050%,0.0025%,0.0050%,0.0050%,0.0050%,0.0000%,0.0050%,0.0050%,0.0050%,0.0100%,0.0405%
2025-08-13 04:00,0.0050%,0.0041%,0.0050%,0.0050%,0.0050%,-0.0050%,0.0050%,0.0050%,0.0050%,0.0100%,0.0228%
