Time,Binance,Bybit,OKX,HTX,Gate,Bitget,CoinEx,BingX,Bitunix,MEXC
2025-08-19 05:52,0.0031%,0.0100%,-0.0025%,0.0050%,-0.0050%,0.0050%,-0.0598%,0.0050%,0.0056%,0.0018%
2025-08-19 04:00,-0.0119%,-0.0160%,-0.0244%,0.0050%,-0.0609%,-0.0165%,-0.0643%,-0.0082%,-0.0118%,-0.0117%
2025-08-18 20:00,-0.0368%,0.0093%,-0.0041%,0.0050%,-0.0200%,0.0050%,-0.0248%,0.0050%,-0.0382%,-0.0382%
2025-08-18 12:00,-0.0117%,-0.0047%,-0.0104%,0.0050%,-0.0436%,0.0044%,-0.0168%,0.0029%,-0.0120%,-0.0120%
2025-08-18 04:00,-0.0345%,-0.0417%,-0.0409%,0.0050%,-0.0502%,-0.0173%,-0.0596%,-0.0133%,-0.0363%,-0.0354%
2025-08-17 20:00,-0.0051%,-0.0110%,-0.0129%,0.0050%,-0.0363%,-0.0028%,-0.0695%,-0.0003%,-0.0027%,-0.0043%
2025-08-17 12:00,0.0050%,0.0100%,0.0100%,0.0050%,0.0066%,0.0050%,0.0000%,0.0050%,0.0050%,0.0050%
2025-08-17 04:00,0.0050%,0.0100%,0.0038%,0.0050%,0.0068%,0.0050%,-0.0187%,0.0050%,0.0050%,0.0050%
2025-08-16 20:00,0.0050%,-0.0030%,-0.0032%,0.0030%,-0.0371%,0.0050%,-0.0145%,0.0050%,0.0050%,0.0050%
2025-08-16 12:00,-0.0259%,-0.0407%,-0.0472%,0.0050%,-0.0720%,-0.0242%,-0.1046%,-0.0170%,-0.0280%,-0.0269%
2025-08-16 04:00,-0.0204%,-0.0133%,-0.0245%,0.0021%,-0.0480%,-0.0099%,0.0270%,-0.0076%,-0.0211%,-0.0211%
2025-08-15 20:00,-0.0050%,0.0079%,0.0038%,0.0050%,-0.0253%,0.0050%,0.0474%,0.0050%,-0.0056%,-0.0056%
2025-08-15 12:00,-0.0300%,-0.0476%,-0.0393%,0.0050%,-0.0442%,-0.0296%,-0.0782%,-0.0212%,-0.0299%,-0.0299%
2025-08-15 04:00,-0.0104%,0.0100%,0.0100%,0.0021%,-0.0390%,0.0050%,0.0000%,0.0050%,-0.0064%,-0.0097%
2025-08-14 20:00,0.0050%,0.0014%,0.0100%,0.0050%,-0.0217%,0.0050%,-0.0181%,0.0050%,0.0050%,0.0050%
2025-08-14 12:00,-0.0119%,-0.0211%,-0.0113%,0.0050%,-0.0181%,0.0040%,-0.1548%,0.0025%,-0.0134%,-0.0126%
2025-08-14 04:00,0.0050%,0.0100%,0.0100%,0.0050%,0.0100%,0.0050%,-0.0834%,0.0050%,0.0050%,0.0050%
2025-08-13 20:00,0.0050%,0.0100%,0.0030%,0.0050%,-0.0193%,0.0050%,-0.0512%,0.0050%,0.0049%,0.0049%
2025-08-13 12:00,-0.0150%,0.0100%,0.0100%,0.0050%,0.0100%,-0.0038%,0.0000%,-0.0047%,-0.0150%,-0.0149%
2025-08-13 04:00,0.0016%,0.0100%,0.0100%,0.0050%,-0.0033%,0.0050%,-0.0106%,0.0050%,0.0011%,0.0011%
2025-08-12 20:00,-0.0220%,0.0100%,-0.0060%,-0.0039%,-0.0430%,0.0011%,-0.0603%,0.0017%,-0.0209%,-0.0209%
2025-08-12 12:00,0.0050%,0.0100%,0.0100%,0.0050%,-0.0413%,0.0050%,-0.0546%,0.0050%,0.0050%,0.0050%
2025-08-12 04:00,-0.0084%,-0.0012%,0.0084%,0.0026%,-0.0152%,-0.0031%,-0.0621%,-0.0010%,-0.0079%,-0.0079%
2025-08-11 20:00,-0.0027%,-0.0182%,-0.0094%,0.0050%,-0.0297%,-0.0065%,-0.0527%,-0.0022%,-0.0031%,-0.0031%
2025-08-11 12:00,0.0050%,-0.0015%,0.0100%,0.0050%,-0.0016%,0.0050%,-0.0284%,0.0050%,0.0050%,0.0050%
2025-08-11 04:00,0.0050%,0.0100%,0.0100%,0.0038%,-0.0008%,0.0050%,-0.0277%,0.0050%,0.0050%,0.0050%
2025-08-10 20:00,-0.0093%,0.0100%,-0.0215%,0.0050%,-0.0375%,0.0050%,-0.1102%,0.0050%,-0.0103%,-0.0099%
