Time,Binance,Bybit,OKX,HTX,Gate,Bitget,CoinEx,BingX,Crypto.com,Bitunix,MEXC,KuCoin
2025-08-18 11:57,-0.0589%,-0.0173%,-0.0582%,-0.1279%,-0.0129%,-0.0639%,-0.1906%,-0.0629%,-0.4326%,-0.0589%,-0.0589%,-0.0488%
2025-08-18 04:00,-0.0253%,-0.0073%,-0.0304%,-0.0047%,0.0025%,-0.0193%,-0.0455%,-0.0041%,-0.0633%,-0.0240%,-0.0247%,-0.0280%
2025-08-17 20:00,-0.0124%,-0.0055%,-0.0176%,-0.0006%,0.0025%,-0.0010%,-0.0546%,-0.0004%,-0.0552%,-0.0120%,-0.0120%,-0.0173%
2025-08-17 12:00,-0.0134%,0.0025%,-0.0177%,-0.0431%,0.0025%,0.0050%,-0.0383%,0.0050%,-0.0503%,-0.0142%,-0.0138%,-0.0256%
2025-08-17 04:00,-0.0760%,-0.0386%,-0.0653%,-0.0342%,-0.0245%,-0.0357%,-0.0377%,-0.0184%,0.0154%,-0.0748%,-0.0755%,-0.0244%
2025-08-16 20:00,-0.0473%,-0.0013%,-0.0363%,0.0050%,-0.0044%,-0.0010%,-0.0486%,-0.0011%,0.0230%,-0.0471%,-0.0471%,-0.0248%
2025-08-16 12:00,-0.0597%,-0.0183%,-0.0546%,0.0037%,-0.0162%,-0.0255%,-0.0448%,-0.0124%,0.0096%,-0.0595%,-0.0596%,-0.0418%
2025-08-16 04:00,-0.0470%,-0.0186%,-0.0518%,-0.0501%,-0.0112%,-0.0254%,-0.0380%,-0.0132%,-0.0682%,-0.0476%,-0.0476%,-0.0366%
2025-08-15 20:00,-0.0458%,0.0025%,-0.0432%,-0.0286%,0.0025%,0.0050%,-0.0380%,-0.0456%,-0.1694%,-0.0460%,-0.0460%,-0.0431%
2025-08-15 12:00,-0.0191%,-0.0027%,-0.0075%,-0.0466%,0.0025%,-0.0355%,-0.1887%,-0.0341%,-0.4009%,-0.0190%,-0.0190%,-0.0246%
2025-08-15 04:00,-0.0084%,0.0025%,-0.0124%,-0.0052%,-0.0095%,0.0050%,-0.0631%,0.0050%,-0.1086%,-0.0094%,-0.0089%,-0.0234%
2025-08-14 20:00,-0.0069%,-0.0200%,-0.0093%,0.0037%,0.0025%,0.0047%,-0.0551%,0.0048%,-0.0584%,-0.0064%,-0.0070%,-0.0202%
2025-08-14 12:00,0.0021%,-0.0023%,-0.0035%,0.0026%,0.0025%,0.0050%,-0.1217%,0.0050%,0.0271%,0.0018%,0.0022%,-0.0133%
2025-08-14 04:00,-0.0385%,-0.0087%,-0.0261%,-0.0056%,-0.0075%,-0.0063%,-0.0269%,-0.0053%,0.0662%,-0.0405%,-0.0394%,-0.0499%
2025-08-13 20:00,-0.0023%,0.0025%,0.0050%,0.0017%,0.0025%,0.0050%,-0.0374%,0.0050%,-0.0363%,-0.0019%,-0.0019%,-0.0196%
2025-08-13 12:00,-0.0008%,0.0025%,0.0050%,0.0050%,0.0025%,0.0050%,-0.0311%,0.0011%,-0.0051%,0.0003%,-0.0004%,-0.0329%
2025-08-13 04:00,-0.0261%,-0.0210%,-0.0315%,-0.0300%,-0.0047%,-0.0090%,-0.0301%,-0.0070%,-0.0125%,-0.0260%,-0.0260%,-0.0232%
2025-08-12 20:00,-0.0274%,0.0025%,-0.0073%,-0.0340%,0.0025%,0.0050%,0.0000%,0.0050%,-0.0208%,-0.0280%,-0.0280%,-0.0196%
2025-08-12 12:00,-0.0439%,0.0025%,-0.0443%,-0.0452%,-0.0050%,-0.0198%,-0.1199%,0.0025%,-0.3337%,-0.0439%,-0.0439%,-0.0459%
2025-08-12 04:00,-0.0546%,-0.0882%,-0.0552%,-0.0239%,-0.0257%,-0.0395%,-0.0153%,-0.0146%,-0.0553%,-0.0441%,-0.0441%,-0.0541%
2025-08-11 20:00,-0.0187%,-0.0105%,-0.0118%,0.0029%,0.0001%,-0.0092%,0.0000%,-0.0057%,-0.0240%,-0.0192%,-0.0192%,-0.0268%
2025-08-11 12:00,-0.0414%,-0.0033%,-0.0278%,0.0050%,-0.0054%,0.0050%,0.0000%,0.0050%,-0.0639%,-0.0427%,-0.0427%,-0.0365%
2025-08-11 04:00,0.0011%,0.0025%,0.0050%,0.0050%,0.0025%,0.0050%,0.0000%,0.0050%,-0.0625%,0.0009%,0.0009%,-0.0067%
2025-08-10 20:00,0.0050%,0.0025%,0.0050%,0.0050%,0.0025%,0.0050%,0.0000%,0.0050%,-0.0478%,0.0050%,0.0050%,0.0158%
2025-08-10 12:00,0.0028%,0.0025%,0.0050%,0.0050%,0.0025%,0.0050%,0.0000%,0.0050%,-0.0840%,0.0030%,0.0030%,-0.0074%
2025-08-10 04:00,-0.0015%,0.0025%,0.0050%,0.0050%,0.0025%,0.0050%,0.0000%,0.0050%,0.0660%,-0.0015%,-0.0015%,-0.0075%
2025-08-09 20:00,-0.0078%,0.0025%,0.0050%,0.0050%,0.0025%,0.0050%,0.0000%,0.0050%,-0.1180%,-0.0067%,-0.0069%,-0.0156%
2025-08-09 12:00,-0.0572%,0.0025%,-0.0466%,-0.0363%,0.0025%,-0.0294%,-0.0502%,0.0025%,-0.1479%,-0.0595%,-0.0595%,-0.0095%
2025-08-09 04:00,-0.1685%,-0.1009%,-0.1743%,-0.1438%,-0.1351%,-0.1265%,-0.0512%,-0.0795%,0.1633%,-0.1723%,-0.1723%,-0.1590%
2025-08-08 20:00,-0.0071%,0.0025%,0.0050%,0.0050%,0.0025%,0.0050%,0.0000%,-0.0086%,0.0600%,-0.0085%,-0.0085%,0.0011%
2025-08-08 12:00,-0.0386%,-0.0131%,-0.0208%,0.0050%,0.0025%,0.0050%,-0.0332%,-0.0378%,-0.1848%,-0.0390%,-0.0385%,-0.0242%
2025-08-08 04:00,0.0014%,0.0025%,0.0025%,0.0050%,0.0025%,0.0050%,0.0000%,0.0013%,-0.0283%,0.0031%,0.0031%,-0.0025%
2025-08-07 20:00,0.0050%,0.0025%,0.0050%,0.0050%,0.0025%,0.0050%,0.0000%,0.0018%,-0.0379%,0.0050%,0.0050%,-0.0004%
2025-08-07 12:00,-0.0074%,0.0025%,0.0050%,0.0050%,0.0025%,0.0050%,0.0214%,-0.0080%,-0.0275%,-0.0080%,-0.0080%,-0.0046%
2025-08-07 04:00,0.0012%,0.0025%,0.0014%,0.0025%,0.0025%,0.0050%,0.0019%,0.0050%,-0.0073%,0.0034%,0.0026%,-0.0081%
