Time,Bitmex,Binance,Bybit,OKX,HTX,Gate,Bitget,CoinEx,BingX,Crypto.com,Bitunix,MEXC,Hyperliquid,KuCoin
2025-08-18 08:27,0.0100%,-0.0163%,0.0025%,-0.0146%,-0.0805%,0.0050%,0.0050%,0.0068%,0.0050%,-0.0802%,-0.0164%,-0.0167%,0.0100%,-0.0068%
2025-08-18 04:00,0.0100%,-0.0215%,0.0025%,-0.0147%,0.0050%,0.0050%,0.0050%,0.0147%,0.0050%,-0.0341%,-0.0219%,-0.0214%,0.0100%,-0.0180%
2025-08-17 20:00,0.0100%,0.0050%,0.0025%,0.0050%,0.0050%,0.0050%,0.0050%,0.0395%,0.0018%,-0.0047%,0.0050%,0.0050%,0.0100%,-0.0025%
2025-08-17 12:00,0.0100%,0.0050%,0.0025%,-0.0136%,0.0050%,0.0050%,0.0050%,0.0606%,-0.0149%,0.0577%,0.0050%,0.0050%,0.0100%,0.0192%
2025-08-17 04:00,0.0100%,0.0050%,0.0025%,0.0050%,0.0050%,0.0050%,0.0050%,0.0703%,0.0050%,-0.0041%,0.0050%,0.0050%,0.0100%,0.0155%
2025-08-16 20:00,0.0100%,0.0050%,0.0025%,0.0050%,0.0050%,0.0050%,0.0050%,0.0532%,0.0050%,0.0145%,0.0050%,0.0050%,0.0100%,-0.0181%
2025-08-16 12:00,0.0100%,0.0050%,0.0025%,-0.0083%,0.0050%,0.0050%,0.0050%,0.0439%,0.0050%,0.0043%,0.0050%,0.0050%,0.0100%,-0.0081%
2025-08-16 04:00,0.0100%,-0.0062%,0.0025%,0.0001%,0.0048%,0.0050%,0.0050%,0.0428%,0.0050%,0.0267%,-0.0066%,-0.0066%,0.0100%,-0.0118%
2025-08-15 20:00,0.0100%,0.0050%,0.0025%,0.0050%,0.0050%,0.0050%,0.0050%,0.0528%,0.0050%,0.0122%,0.0050%,0.0050%,0.0100%,0.0161%
2025-08-15 12:00,0.0100%,-0.0053%,0.0025%,0.0050%,0.0050%,0.0050%,0.0050%,0.0607%,0.0050%,0.0075%,-0.0049%,-0.0049%,0.0100%,-0.0174%
2025-08-15 04:00,0.0100%,-0.0023%,0.0025%,0.0050%,0.0029%,0.0050%,0.0050%,0.0457%,0.0050%,-0.0694%,-0.0037%,-0.0033%,0.0100%,-0.0295%
2025-08-14 20:00,0.0100%,-0.0166%,0.0025%,-0.0078%,0.0035%,-0.0002%,0.0050%,0.0042%,0.0050%,-0.1187%,-0.0170%,-0.0166%,0.0029%,-0.0174%
