Time,Bitmex,Binance,Bybit,OKX,HTX,Gate,Bitget,CoinEx,BingX,Crypto.com,Bitunix,MEXC,Hyperliquid,KuCoin
2025-08-19 00:54,0.0095%,0.0044%,-0.0074%,0.0034%,0.0100%,0.0092%,0.0015%,0.0000%,0.0044%,-0.0030%,0.0065%,0.0044%,-0.0148%,0.0062%
2025-08-18 20:00,0.0055%,-0.0020%,0.0004%,-0.0073%,0.0100%,0.0100%,-0.0048%,0.0000%,0.0004%,-0.0046%,0.0041%,-0.0021%,0.0001%,-0.0067%
2025-08-18 12:00,0.0070%,-0.0062%,-0.0029%,-0.0103%,0.0100%,0.0100%,-0.0009%,0.0000%,-0.0005%,0.0003%,0.0083%,-0.0063%,0.0100%,0.0054%
2025-08-18 04:00,0.0100%,-0.0051%,-0.0084%,-0.0009%,0.0100%,0.0100%,0.0058%,0.0000%,0.0059%,-0.0105%,0.0071%,-0.0051%,0.0100%,0.0024%
2025-08-17 20:00,0.0100%,0.0089%,0.0073%,0.0086%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0081%,0.0108%,0.0088%,0.0100%,0.0312%
2025-08-17 12:00,0.0100%,0.0051%,0.0017%,-0.0029%,0.0100%,-0.0061%,0.0012%,0.0000%,0.0050%,0.0014%,0.0070%,0.0049%,0.0100%,0.0313%
2025-08-17 04:00,0.0100%,0.0096%,0.0057%,0.0026%,0.0100%,-0.0039%,0.0060%,0.0000%,0.0096%,0.0064%,0.0116%,0.0096%,0.0100%,0.0655%
2025-08-16 20:00,0.0100%,0.0100%,0.0100%,0.0011%,0.0100%,-0.0014%,0.0089%,0.0000%,0.0100%,0.0040%,0.0120%,0.0100%,0.0100%,0.0141%
2025-08-16 12:00,0.0100%,0.0071%,0.0043%,0.0021%,0.0100%,-0.0062%,0.0041%,0.0000%,0.0070%,0.0044%,0.0089%,0.0070%,0.0100%,0.0024%
2025-08-16 04:00,0.0100%,0.0063%,0.0092%,0.0059%,0.0100%,-0.0024%,0.0030%,0.0000%,0.0093%,0.0017%,0.0083%,0.0063%,0.0100%,-0.0008%
2025-08-15 20:00,0.0100%,-0.0042%,0.0038%,0.0004%,0.0100%,0.0004%,0.0048%,0.0000%,0.0048%,-0.0336%,0.0062%,-0.0042%,0.0100%,-0.0031%
2025-08-15 12:00,0.0100%,0.0041%,0.0077%,0.0003%,0.0100%,0.0053%,0.0076%,0.0000%,0.0079%,-0.0026%,0.0060%,0.0040%,-0.0069%,-0.0070%
2025-08-15 04:00,0.0100%,0.0100%,0.0100%,0.0085%,0.0100%,0.0100%,0.0100%,0.0000%,0.0100%,0.0058%,0.0120%,0.0100%,0.0100%,0.0021%
2025-08-14 20:00,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0100%,0.0054%,0.0100%,0.0001%,0.0120%,0.0100%,0.0100%,0.0005%
