Time,Bitmex,Binance,Bybit,OKX,HTX,Gate,CoinEx,BingX,Crypto.com,Bitunix,MEXC,Hyperliquid,KuCoin
2025-08-21 02:12,-0.0299%,0.0014%,-0.0079%,-0.0070%,0.0050%,-0.1180%,-0.0379%,-0.0069%,-0.0392%,0.0050%,0.0027%,0.0028%,-0.0059%
2025-08-20 20:00,-0.0252%,0.0050%,-0.0112%,-0.0296%,0.0050%,-0.0410%,-0.0282%,-0.0294%,0.0268%,0.0050%,0.0050%,-0.0063%,-0.0121%
2025-08-20 12:00,-0.0070%,0.0050%,0.0013%,-0.0051%,0.0050%,-0.0017%,0.0000%,-0.0058%,0.0812%,0.0050%,0.0050%,0.0100%,0.0192%
2025-08-20 04:00,-0.0285%,0.0050%,0.0013%,0.0025%,0.0050%,-0.0080%,0.0000%,0.0009%,0.0445%,0.0050%,0.0050%,0.0100%,0.0073%
2025-08-19 20:00,-0.0548%,-0.0214%,-0.0015%,-0.0097%,0.0050%,-0.0032%,-0.0219%,-0.0208%,0.0379%,-0.0212%,-0.0212%,-0.0369%,-0.0126%
2025-08-19 12:00,-0.0782%,-0.0015%,0.0013%,-0.0064%,0.0050%,0.0012%,-0.0411%,-0.0075%,0.0195%,-0.0015%,-0.0015%,-0.0546%,-0.0058%
2025-08-19 04:00,-0.0806%,-0.0366%,-0.0032%,-0.0184%,0.0050%,-0.0439%,-0.0445%,-0.0365%,-0.0493%,-0.0377%,-0.0372%,-0.1082%,0.0057%
2025-08-18 20:00,-0.1039%,-0.0061%,-0.0040%,0.0004%,0.0022%,-0.0153%,-0.0376%,-0.0070%,-0.0104%,-0.0064%,-0.0064%,-0.0028%,-0.0173%
2025-08-18 12:00,-0.1505%,0.0050%,0.0013%,0.0010%,0.0050%,0.0012%,-0.0684%,0.0007%,-0.2137%,0.0047%,0.0047%,0.0032%,-0.0007%
2025-08-18 04:00,-0.1109%,-0.0067%,-0.0033%,-0.0159%,-0.0105%,0.0012%,-0.0416%,-0.0169%,-0.0219%,-0.0018%,-0.0053%,-0.0554%,0.0167%
2025-08-17 20:00,-0.0628%,-0.0457%,0.0012%,-0.0305%,-0.0243%,-0.0314%,-0.0687%,-0.0457%,-0.0096%,-0.0462%,-0.0462%,-0.0811%,-0.0386%
2025-08-17 12:00,-0.0680%,-0.0014%,0.0013%,0.0025%,-0.0122%,0.0012%,-0.0512%,0.0016%,-0.0282%,-0.0028%,-0.0028%,-0.0148%,-0.0032%
2025-08-17 04:00,-0.0424%,-0.0330%,-0.0457%,-0.0502%,-0.0227%,-0.0351%,-0.0500%,-0.0519%,-0.0418%,-0.0333%,-0.0332%,-0.0965%,-0.0369%
2025-08-16 20:00,0.0100%,0.0036%,0.0013%,-0.0024%,0.0049%,0.0012%,-0.0275%,-0.0009%,-0.0016%,0.0037%,0.0037%,-0.0212%,-0.0104%
2025-08-16 12:00,0.0100%,0.0050%,0.0013%,0.0004%,0.0042%,0.0012%,-0.0270%,0.0009%,0.0082%,0.0050%,0.0050%,-0.0050%,-0.0195%
